relative_abs_bias_floor,n_trials,n_candidate_statistical,n_candidate_physical,Pr_candidate_physical
1e-08,1296,30,30,0.023148148148148147
1e-07,1296,30,30,0.023148148148148147
1e-06,1296,30,30,0.023148148148148147
1e-05,1296,30,28,0.021604938271604937
0.0001,1296,30,28,0.021604938271604937
0.001,1296,30,11,0.008487654320987654
0.01,1296,30,7,0.005401234567901234
0.1,1296,30,1,0.0007716049382716049
