baseline_id,lst_stratum,lst_bin_id,morphology,flux_jy,multiplicity,PTE_global_absint__frozen_polybeam,PTE_global_absint__full_polybeam,PTE_global_max__frozen_polybeam,PTE_global_max__full_polybeam,Z_PS_max__frozen_polybeam,Z_PS_max__full_polybeam,relative_abs_bias__frozen_polybeam,relative_abs_bias__full_polybeam,candidate_statistical__frozen_polybeam,candidate_statistical__full_polybeam,absint_strict__frozen_polybeam,absint_strict__full_polybeam,local_physical_1e3__frozen_polybeam,local_physical_1e3__full_polybeam,absint_physical_1e3__frozen_polybeam,absint_physical_1e3__full_polybeam,beam_robust_local_physical_1e3,frozen_only_local_physical_1e3,full_only_local_physical_1e3,beam_robust_absint_physical_1e3,frozen_only_absint_physical_1e3,full_only_absint_physical_1e3,delta_PTE_global_max,delta_PTE_global_absint,delta_relative_abs_bias
0_1,quiet,17,khz_comb,10.0,multi,0.6732673267326733,0.8910891089108911,0.4653465346534653,0.801980198019802,0.0957825480747532,-0.710009942707005,1.0055340997230794e-05,9.557628671860011e-06,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3366336633663367,0.2178217821782178,-4.977123253707828e-07
0_1,quiet,17,khz_comb,10.0,single,0.3267326732673267,0.4851485148514851,0.1188118811881188,0.1485148514851485,0.9708167441937804,0.7322275208744335,2.759779008288195e-06,3.018966731373663e-06,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0297029702970297,0.1584158415841584,2.591877230854682e-07
0_1,quiet,17,khz_comb,30.0,multi,0.693069306930693,0.8712871287128713,0.495049504950495,0.7920792079207921,0.0087289518286918,-0.7290742358716613,3.0165735627560843e-05,2.8672765491509105e-05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2970297029702971,0.17821782178217827,-1.4929701360517385e-06
0_1,quiet,17,khz_comb,30.0,single,0.4851485148514851,0.504950495049505,0.198019801980198,0.1188118811881188,0.8423947010746654,0.9888301343148286,8.279295728182622e-06,9.05763434888764e-06,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.0792079207920792,0.019801980198019875,7.783386207050183e-07
0_1,quiet,17,khz_comb,300.0,multi,0.6435643564356436,0.8910891089108911,0.5346534653465347,0.7821782178217822,-0.0824907408857393,-0.5406569310153158,0.0003016309237514,0.0002867113841675,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.24752475247524752,0.24752475247524752,-1.4919539583900033e-05
0_1,quiet,17,khz_comb,300.0,single,0.3861386138613861,0.5247524752475248,0.099009900990099,0.1485148514851485,1.131299332167122,0.7793224535127438,8.278983647240657e-05,9.068524708034192e-05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.04950495049504951,0.13861386138613868,7.895410607935353e-06
0_1,quiet,17,khz_comb,1000.0,multi,0.693069306930693,0.8910891089108911,0.5643564356435643,0.8118811881188119,-0.2437524530753544,-0.7850845734551537,0.0010052982972439,0.0009562028802989,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.24752475247524763,0.19801980198019808,-4.9095416944999986e-05
0_1,quiet,17,khz_comb,1000.0,single,0.4653465346534653,0.4356435643564356,0.0396039603960396,0.0693069306930693,1.004671845343533,1.221357666744324,0.0002759892000641,0.0003039504892596,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0297029702970297,-0.02970297029702973,2.7961289195500025e-05
0_1,quiet,17,lines,10.0,multi,0.6039603960396039,0.8415841584158416,0.495049504950495,0.7326732673267327,0.0830604632509141,-0.5971437257567798,1.1651432273758591e-05,1.1390140822973407e-05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.23762376237623767,0.2376237623762376,-2.612914507851839e-07
0_1,quiet,17,lines,10.0,single,0.3861386138613861,0.4752475247524752,0.2673267326732673,0.1881188118811881,0.5682133940067818,0.5460571278012422,3.118014500185076e-06,3.5167481324821157e-06,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.0792079207920792,0.08910891089108913,3.9873363229703975e-07
0_1,quiet,17,lines,30.0,multi,0.6435643564356436,0.8613861386138614,0.4851485148514851,0.7128712871287128,0.0237436194742205,-0.5757171143146537,3.495346687406e-05,3.416933576295632e-05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.22772277227722776,0.2178217821782178,-7.841311111036748e-07
0_1,quiet,17,lines,30.0,single,0.495049504950495,0.4257425742574257,0.3069306930693069,0.1287128712871287,0.3767510546075896,0.6858049335846317,9.35386087137352e-06,1.0551009979056584e-05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.17821782178217824,-0.06930693069306931,1.197149107683063e-06
0_1,quiet,17,lines,300.0,multi,0.6534653465346535,0.8514851485148515,0.5247524752475248,0.6732673267326733,-0.0893991214597934,-0.4742853240544113,0.0003494258449148,0.0003415528111618,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.14851485148514854,0.19801980198019797,-7.873033752999999e-06
0_1,quiet,17,lines,300.0,single,0.504950495049505,0.3762376237623762,0.2178217821782178,0.1188118811881188,0.6519536824594965,0.7743972070323409,9.351495872164096e-05,0.0001056480596587,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.09900990099009899,-0.12871287128712877,1.2133100937059045e-05
0_1,quiet,17,lines,1000.0,multi,0.6534653465346535,0.801980198019802,0.504950495049505,0.6435643564356436,0.0043432227395178,-0.4538923234292276,0.0011639023340669,0.0011379982286345,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.13861386138613863,0.14851485148514854,-2.5904105432399994e-05
0_1,quiet,17,lines,1000.0,single,0.5148514851485149,0.4851485148514851,0.1089108910891089,0.1287128712871287,0.7991734758989649,0.791085669043558,0.0003116079425256,0.0003547397413126,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.019801980198019792,-0.029702970297029785,4.3131798786999996e-05
0_1,quiet,17,smooth,10.0,multi,0.5841584158415841,0.8415841584158416,0.5643564356435643,0.7326732673267327,-0.1386859612961366,-0.5067677538038524,1.165206025787748e-05,1.1392600792156222e-05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.16831683168316836,0.25742574257425743,-2.5945946572125834e-07
0_1,quiet,17,smooth,10.0,single,0.4158415841584158,0.504950495049505,0.2376237623762376,0.1881188118811881,0.5804031272919676,0.5236537542034047,3.1186006417309303e-06,3.518705381330936e-06,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.04950495049504952,0.08910891089108913,4.0010473960000566e-07
0_1,quiet,17,smooth,30.0,multi,0.5841584158415841,0.8811881188118812,0.4554455445544554,0.7920792079207921,0.1129804800495317,-0.670422394983195,3.495533894613182e-05,3.417677356735349e-05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3366336633663367,0.29702970297029707,-7.785653787783318e-07
0_1,quiet,17,smooth,30.0,single,0.5148514851485149,0.4158415841584158,0.3267326732673267,0.1485148514851485,0.5294217530734601,0.746225385943274,9.35558146820412e-06,1.0556849385238116e-05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.17821782178217818,-0.09900990099009904,1.201267917033996e-06
0_1,quiet,17,smooth,300.0,multi,0.6633663366336634,0.8811881188118812,0.4752475247524752,0.7524752475247525,0.0889057943108833,-0.6464677253646659,0.0003494421022332,0.0003416391940065,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.27722772277227725,0.2178217821782178,-7.80290822669996e-06
0_1,quiet,17,smooth,300.0,single,0.3762376237623762,0.4455445544554455,0.1287128712871287,0.1584158415841584,0.9671914775052424,0.8756543166218944,9.352970801124882e-05,0.000105686675926,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0297029702970297,0.06930693069306931,1.215696791475118e-05
0_1,quiet,17,smooth,1000.0,multi,0.6138613861386139,0.8217821782178217,0.4752475247524752,0.7128712871287128,0.081336997870923,-0.4966264215547805,0.0011639260820762,0.0011383312223176,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2376237623762376,0.20792079207920788,-2.5594859758600128e-05
0_1,quiet,17,smooth,1000.0,single,0.4257425742574257,0.504950495049505,0.1386138613861386,0.1386138613861386,0.8108066414141502,0.7218322521116005,0.0003116366834159,0.0003548048768079,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.07920792079207928,4.316819339200001e-05
0_1,stress,0,khz_comb,10.0,multi,0.0099009900990099,0.0396039603960396,0.2178217821782178,0.4257425742574257,0.9859319974517872,0.2451938340534911,0.0003562151177799,0.0003766823009792,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.20792079207920788,0.029702970297029698,2.04671831993e-05
0_1,stress,0,khz_comb,10.0,single,0.4653465346534653,0.4752475247524752,0.9405940594059404,0.9702970297029704,-1.5129472093927536,-1.6732914859833692,0.0001235154742854,0.0001309600213324,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.02970297029702995,0.00990099009900991,7.4445470469999895e-06
0_1,stress,0,khz_comb,30.0,multi,0.0099009900990099,0.0099009900990099,0.2376237623762376,0.3465346534653465,0.8672795960617581,0.4593469926097389,0.0010700960951364,0.0011340015175141,False,False,True,True,False,False,True,True,False,False,False,True,False,False,0.1089108910891089,0.0,6.390542237770004e-05
