term,sum_sq,df,F,PR(>F),partial_eta_sq
C(beam_model),2.1574022647900937,1.0,7.17947361928057,0.007472239586527966,0.0057797393788532585
C(morphology),0.576145725723022,2.0,0.9586582683716965,0.3836920937167845,0.0015500765581580717
C(flux_jy),847.1632297986533,3.0,939.7391419653682,3.899897e-318,0.695378942404149
C(multiplicity),103.22340411085767,1.0,343.5102107758031,7.45587996694564e-68,0.21761671760550438
C(lst_stratum),165.7669795608303,2.0,275.82238049161316,9.348706174432765e-100,0.30876018167128266
C(beam_model):C(morphology),0.03443838173345626,2.0,0.05730258496092739,0.9443108031956505,9.278909782310272e-05
baseline_length_m,38.039944386446614,1.0,126.59056758150089,5.001410426077968e-28,0.09297256502470853
Residual,371.1124155203394,1235.0,,,0.5
