case,baseline_id,lst_stratum,lst_bin_id,morphology,flux_jy,multiplicity,n_injected,peak_alt_deg_min,peak_alt_deg_max,selected_norad_ids,selected_peak_alts_deg,eta_tau_min,eta_tau_max,horizon_proximity_bins,N_null,seed,frozen_PTE_max,frozen_PTE_absint,frozen_B_rel,full_PTE_max,full_PTE_absint,full_B_rel,final_class
1,82_0,typical,18,khz_comb,1000.0,multi,12,28.53071277887199,29.66278095955527,54624;54624;56306;56306;53745;53745;45230;45230;57882;51970;58749;58749,29.663;29.663;29.625;29.625;29.607;29.607;29.299;29.299;28.667;28.536;28.531;28.531,0.4943818077448532,0.998894379305863,mid_wedge;near_horizon,1000,20270708,0.07792207792207792,0.00999000999000999,0.00021464843526243401,0.4645354645354645,0.16183816183816183,0.00041612485172987107,local-only QA candidate
2,0_1,typical,44,smooth,1000.0,multi,12,28.552234706592596,29.95834220259238,46082;56588;56588;58248;51651;51651;57868;54312;54312;51628;51628;55332,29.958;29.628;29.628;29.504;28.949;28.949;28.815;28.639;28.639;28.619;28.619;28.552,0.848017382624156,0.9978871073475692,near_horizon,1000,20270708,0.6213786213786214,0.4915084915084915,7.636077401925392e-05,0.008991008991008992,0.000999000999000999,0.0005066668292771619,local-only QA candidate
