case_rank,baseline_id,lst_stratum,lst_bin_id,beam_model,morphology,flux_jy,multiplicity,buffer_ns,n_null,Z_PS_max,PTE_global_max,PTE_global_absint,relative_abs_bias,n_window_bins,tau_ns_min_window,tau_ns_max_window,candidate_statistical,candidate_physical_1e2
1,0_1,typical,44,full_polybeam,smooth,30.0,multi,0.0,100,0.9657834461574386,0.16831683168316833,0.693069306930693,0.0005505593724554943,1517,-4095.9999999999995,4090.666666666666,False,False
1,0_1,typical,44,full_polybeam,smooth,30.0,multi,50.0,100,3.9596175924477666,0.04950495049504951,0.9207920792079208,0.000499837252413245,1499,-4095.9999999999995,4090.666666666666,False,False
1,0_1,typical,44,full_polybeam,smooth,30.0,multi,100.0,100,3.8972951635219166,0.009900990099009901,0.900990099009901,0.0005534296702845863,1481,-4095.9999999999995,4090.666666666666,True,False
1,0_1,typical,44,full_polybeam,smooth,30.0,multi,150.0,100,0.28896962845496893,0.42574257425742573,0.693069306930693,0.0005607668633710724,1461,-4095.9999999999995,4090.666666666666,False,False
1,0_1,typical,44,full_polybeam,smooth,30.0,multi,200.0,100,-0.5458444251944202,0.6633663366336634,0.9405940594059405,0.0005268734255430684,1443,-4095.9999999999995,4090.666666666666,False,False
