case,baseline_id,lst_stratum,lst_bin_id,beam,paired_beam,morphology,flux_jy,multiplicity,residual_model,sigma_cal,ell_nu_mhz,cal_seed,PTE_max_1000,B_rel,PTE_absint_1000,paired_PTE_max_1000,paired_B_rel,paired_PTE_absint_1000,final_class
2,23_80,stress,0,frozen_polybeam,full_polybeam,smooth,1000.0,multi,white,0.01,,4,0.011988011988011988,0.02878848325420399,0.03796203796203796,0.06993006993006994,0.03473876214526948,0.03296703296703297,local-only QA candidate
2,23_80,stress,0,frozen_polybeam,full_polybeam,smooth,1000.0,multi,white,0.01,,5,0.011988011988011988,0.028714682509061704,0.03896103896103896,0.08291708291708291,0.034631504415664253,0.03696303696303696,local-only QA candidate
2,23_80,stress,0,frozen_polybeam,full_polybeam,smooth,1000.0,multi,white,0.01,,6,0.01998001998001998,0.028782657164726812,0.03796203796203796,0.07992007992007992,0.03479404148657901,0.03196803196803197,local-only QA candidate
2,23_80,stress,0,frozen_polybeam,full_polybeam,smooth,1000.0,multi,white,0.01,,7,0.017982017982017984,0.02873281394495928,0.03896103896103896,0.08891108891108891,0.03467501802617382,0.03596403596403597,local-only QA candidate
2,23_80,stress,0,frozen_polybeam,full_polybeam,smooth,1000.0,multi,white,0.01,,8,0.022977022977022976,0.028727829519961407,0.03896103896103896,0.08291708291708291,0.03465821682150897,0.03396603396603397,local-only QA candidate
2,23_80,stress,0,frozen_polybeam,full_polybeam,smooth,1000.0,multi,white,0.01,,9,0.00999000999000999,0.028768990292375216,0.03896103896103896,0.08091908091908091,0.034719924568587274,0.03396603396603397,window-integrated candidate
2,23_80,stress,0,frozen_polybeam,full_polybeam,smooth,1000.0,multi,white,0.01,,10,0.01898101898101898,0.028770153494947156,0.03796203796203796,0.08591408591408592,0.034691825713461605,0.03496503496503497,local-only QA candidate
2,23_80,stress,0,frozen_polybeam,full_polybeam,smooth,1000.0,multi,smooth,0.01,1.0,1,0.017982017982017984,0.0286588559447945,0.03796203796203796,0.08291708291708291,0.034603138987043564,0.03296703296703297,local-only QA candidate
2,23_80,stress,0,frozen_polybeam,full_polybeam,smooth,1000.0,multi,smooth,0.01,1.0,2,0.01898101898101898,0.02880089133642461,0.03896103896103896,0.07992007992007992,0.03471346025800613,0.03596403596403597,local-only QA candidate
2,23_80,stress,0,frozen_polybeam,full_polybeam,smooth,1000.0,multi,smooth,0.01,1.0,3,0.01998001998001998,0.02878524954075168,0.03796203796203796,0.08391608391608392,0.034716314922040664,0.03396603396603397,local-only QA candidate
