baseline_id,baseline_length_m,baseline_class,lst_stratum,lst_bin_id,lst_start,lst_end,flag_fraction,n_sat_visible,n_sat_visible_center,n_sat_visible_any_bin,n_sat_visible_peak_bin,n_sat_peak_visible,beam_weighted_sat_exposure_center,beam_weighted_sat_exposure_bin_mean,beam_weighted_sat_exposure,max_sat_beam_response,bg_window_power_proxy,max_sat_beam_response_center,max_sat_beam_response_bin,null_mad_win_proxy,pre_risk_score,pre_risk_score_bin,selection_rule,source_uvh5,pol,ant1,ant2,t_start_index,n_time,baseline_enu_e_m,baseline_enu_n_m,baseline_enu_u_m
0_1,14.60794900739243,short,quiet,17,2461041.6180555555,2461041.624878509,0.1657111055107527,2,0,2,2,2,0.0,0.0684687078802128,0.0684687078802128,0.2805166207424566,126080182904.909,0.0,0.2805166207424566,112086845.77031374,6.108540873789748e-10,6.108540873789748e-10,lowest 20pct exposure; flag closest to median,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,ee,0,1,1054,62,14.607842476282327,0.0557883524254521,0.0002245727241358
0_1,14.60794900739243,short,typical,44,2461041.8055555555,2461041.8123785085,0.1653330813172043,3,0,3,3,3,0.0,0.2419547912000571,0.2419547912000571,0.7241364102878726,3583672682.7605968,0.0,0.7241364102878726,9450380.56293815,2.5602650558744558e-08,2.5602650558744558e-08,minimum robust distance to median exposure/flag/MAD,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,ee,0,1,2728,62,14.607842476282327,0.0557883524254521,0.0002245727241358
0_1,14.60794900739243,short,stress,0,2461041.5,2461041.506822953,0.2350680443548387,4,1,4,4,4,0.3308758856684498,0.5502745938468236,0.5502745938468236,0.7280464634021924,298853145.6978643,0.3308758856684498,0.7280464634021924,281357.1387510374,1.9557868561271567e-06,1.9557868561271567e-06,maximum pre_risk_score not already selected,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,ee,0,1,0,62,14.607842476282327,0.0557883524254521,0.0002245727241358
0_197,160.250312485456,mid,quiet,22,2461041.652777778,2461041.6596007315,0.1653960853494623,3,0,3,3,3,0.0,0.0434769020580605,0.0434769020580605,0.1229563272443203,344014328.2176267,0.0,0.1229563272443203,1155103.0506119488,3.763898124503042e-08,3.763898124503042e-08,lowest 20pct exposure; flag closest to median,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_197.sum.uvh5,ee,0,197,1364,62,-37.11542356234664,155.88441668532192,-1.6299141544335711
0_197,160.250312485456,mid,typical,36,2461041.75,2461041.756822953,0.1655535954301075,4,0,4,4,4,0.0,0.3212071455869001,0.3212071455869001,0.5491919590577511,1031554193.3470088,0.0,0.5491919590577511,955590.4468303458,3.3613473915769145e-07,3.3613473915769145e-07,minimum robust distance to median exposure/flag/MAD,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_197.sum.uvh5,ee,0,197,2232,62,-37.11542356234664,155.88441668532192,-1.6299141544335711
0_197,160.250312485456,mid,stress,0,2461041.5,2461041.506822953,0.2313613071236559,4,1,4,4,4,0.3308758856684498,0.5502745938468236,0.5502745938468236,0.7280464634021924,3438449.036565752,0.3308758856684498,0.7280464634021924,3969.816508545893,0.0001386146167366,0.0001386146167366,maximum pre_risk_score not already selected,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_197.sum.uvh5,ee,0,197,0,62,-37.11542356234664,155.88441668532192,-1.6299141544335711
11_10,153.90399534464717,mid,quiet,16,2461041.611111111,2461041.6179340645,0.1708459341397849,2,0,2,2,2,0.0,0.0212303841364464,0.0212303841364464,0.0519940798441188,118459947.24138288,0.0,0.0519940798441188,151414.55524732452,1.402136280872614e-07,1.402136280872614e-07,lowest 20pct exposure; flag closest to median,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.11_10.sum.uvh5,ee,11,10,992,62,153.4306332906146,-12.061024233154924,0.1106595381357564
11_10,153.90399534464717,mid,typical,44,2461041.8055555555,2461041.8123785085,0.1693968413978494,3,0,3,3,3,0.0,0.2419547912000571,0.2419547912000571,0.7241364102878726,312147198.3661131,0.0,0.7241364102878726,264057.0820275574,9.162972995922386e-07,9.162972995922386e-07,minimum robust distance to median exposure/flag/MAD,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.11_10.sum.uvh5,ee,11,10,2728,62,153.4306332906146,-12.061024233154924,0.1106595381357564
11_10,153.90399534464717,mid,stress,64,2461041.9444444445,2461041.951267397,1.0,2,0,2,2,2,0.0,0.2812107439459313,0.2812107439459313,0.9963509766045548,0.0,0.0,0.9963509766045548,0.0,281210743945.93134,281210743945.93134,maximum pre_risk_score not already selected,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.11_10.sum.uvh5,ee,11,10,3968,62,153.4306332906146,-12.061024233154924,0.1106595381357564
157_146,140.36979839670377,mid,quiet,16,2461041.611111111,2461041.6179340645,0.1657426075268817,2,0,2,2,2,0.0,0.0212303841364464,0.0212303841364464,0.0519940798441188,813627448.6714061,0.0,0.0519940798441188,1692031.786103713,1.2547272640388289e-08,1.2547272640388289e-08,lowest 20pct exposure; flag closest to median,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.157_146.sum.uvh5,ee,157,146,992,62,138.85501657378413,-20.561363145179588,0.4416105042305148
