baseline_id,baseline_class,lst_stratum,lst_bin_id,sat_rank,norad_id,sat_name,epoch,freq_mhz,peak_alt_deg,mean_alt_visible_deg,n_time_visible,doppler_min_hz,doppler_max_hz,doppler_abs_max_hz,doppler_span_hz,doppler_abs_max_khz,doppler_span_khz,fraction_of_48p8khz_spacing,fraction_of_12p2khz_linewidth
0_1,short,quiet,17,1,46168,SAT-46168-E26001.00003472,26001.00003472,150.0,83.2290292216474,76.61374736970596,5,-1020.6260457274509,1036.6777235432492,1036.6777235432492,2057.3037692707003,1.0366777235432492,2.0573037692707,0.02124339597424691,0.08497358389698764
0_1,short,quiet,17,2,47826,SAT-47826-E26001.52824829,26001.52824829,150.0,73.75688275630966,72.82735473480648,3,-389.09747455923895,415.38717372138433,415.38717372138433,804.4846482806233,0.41538717372138434,0.8044846482806234,0.008512032248389024,0.034048128993556095
0_1,short,typical,44,1,46146,SAT-46146-E26001.71208310,26001.71208310,150.0,86.58801156902221,79.29365457026981,6,-1015.4825214347412,1002.5682515251493,1015.4825214347412,2018.0507729598905,1.0154825214347412,2.0180507729598904,0.02080906806218732,0.08323627224874929
0_1,short,typical,44,2,46484,SAT-46484-E26001.60114006,26001.60114006,150.0,71.23009826271361,70.67167389262477,2,-34.58133762994331,400.08984985791574,400.08984985791574,434.6711874878591,0.40008984985791574,0.43467118748785905,0.008198562497088438,0.03279424998835375
0_1,short,typical,44,3,48165,SAT-48165-E26001.13184342,26001.13184342,150.0,70.05229272645082,70.05229272645082,1,-155.20142582841007,-155.20142582841007,155.20142582841007,0.0,0.15520142582841007,0.0,0.003180357086647747,0.012721428346590988
0_1,short,stress,0,1,46696,SAT-46696-E26001.00003472,26001.00003472,150.0,86.61659354435372,80.62094422858915,4,-894.0740217705511,742.6665137295333,894.0740217705511,1636.7405355000844,0.8940740217705511,1.6367405355000844,0.018321188970708013,0.07328475588283205
0_1,short,stress,0,2,48029,SAT-48029-E26001.15965029,26001.15965029,150.0,85.10376826151555,79.60637395586066,5,-902.1129403576266,729.2583002725264,902.1129403576266,1631.371240630153,0.9021129403576266,1.6313712406301528,0.018485920908967758,0.07394368363587103
0_1,short,stress,0,3,44725,SAT-44725-E26001.60793575,26001.60793575,150.0,84.15168638094258,79.02850166418537,5,-860.8845718776031,769.2234936057982,860.8845718776031,1630.1080654834013,0.8608845718776031,1.6301080654834013,0.017641077292573835,0.07056430917029534
0_1,short,stress,0,4,46687,SAT-46687-E26001.59635556,26001.59635556,150.0,73.7079505041063,72.30809952335672,3,-641.2314523617189,387.24271486930104,641.2314523617189,1028.47416723102,0.6412314523617189,1.0284741672310198,0.013139988777904076,0.052559955111616305
0_197,mid,quiet,22,1,45217,SAT-45217-E26001.17853548,26001.17853548,150.0,81.3054871930738,76.19429979732143,3,-1022.1349458708977,-441.81883392506444,1022.1349458708977,580.3161119458332,1.0221349458708977,0.5803161119458332,0.02094538823505938,0.08378155294023752
0_197,mid,quiet,22,2,47392,SAT-47392-E26001.18361338,26001.18361338,150.0,72.96229376612406,72.08404796281197,3,-499.1896127544372,305.21993499361815,499.1896127544372,804.4095477480553,0.4991896127544372,0.8044095477480553,0.01022929534332863,0.04091718137331452
0_197,mid,quiet,22,3,47391,SAT-47391-E26001.18266838,26001.18266838,150.0,70.43941167943609,70.43941167943609,1,-4.663090498269893,-4.663090498269893,4.663090498269893,0.0,0.004663090498269893,0.0,9.555513316126831e-05,0.00038222053264507324
0_197,mid,typical,36,1,49397,SAT-49397-E26001.08431385,26001.08431385,150.0,85.35075922238096,78.68000072439885,5,-1047.4545000938729,899.3805891290598,1047.4545000938729,1946.8350892229328,1.0474545000938729,1.9468350892229327,0.021464231559300672,0.08585692623720269
0_197,mid,typical,36,2,44316,SAT-44316-E26001.12779510,26001.12779510,150.0,84.09810175370265,78.57296869389616,5,-1076.8324444815582,712.4028584170212,1076.8324444815582,1789.2353028985794,1.0768324444815582,1.7892353028985795,0.022066238616425374,0.0882649544657015
0_197,mid,typical,36,3,45660,SAT-45660-E26001.01635941,26001.01635941,150.0,79.53480445830796,75.90514713695369,5,-905.6223091960903,710.0191457066035,905.6223091960903,1615.6414549026938,0.9056223091960903,1.6156414549026938,0.018557834204837916,0.07423133681935166
0_197,mid,typical,36,4,47357,SAT-47357-E26001.27671991,26001.27671991,150.0,78.14686756410107,76.28663661141842,4,-606.1344221159003,615.3734164523945,615.3734164523945,1221.5078385682948,0.6153734164523945,1.2215078385682947,0.012610110992876936,0.050440443971507744
0_197,mid,stress,0,1,46696,SAT-46696-E26001.00003472,26001.00003472,150.0,86.61659354435372,80.62094422858915,4,-894.0740217705511,742.6665137295333,894.0740217705511,1636.7405355000844,0.8940740217705511,1.6367405355000844,0.018321188970708013,0.07328475588283205
0_197,mid,stress,0,2,48029,SAT-48029-E26001.15965029,26001.15965029,150.0,85.10376826151555,79.60637395586066,5,-902.1129403576266,729.2583002725264,902.1129403576266,1631.371240630153,0.9021129403576266,1.6313712406301528,0.018485920908967758,0.07394368363587103
0_197,mid,stress,0,3,44725,SAT-44725-E26001.60793575,26001.60793575,150.0,84.15168638094258,79.02850166418537,5,-860.8845718776031,769.2234936057982,860.8845718776031,1630.1080654834013,0.8608845718776031,1.6301080654834013,0.017641077292573835,0.07056430917029534
0_197,mid,stress,0,4,46687,SAT-46687-E26001.59635556,26001.59635556,150.0,73.7079505041063,72.30809952335672,3,-641.2314523617189,387.24271486930104,641.2314523617189,1028.47416723102,0.6412314523617189,1.0284741672310198,0.013139988777904076,0.052559955111616305
11_10,mid,quiet,16,1,46128,SAT-46128-E26001.00003472,26001.00003472,150.0,79.67344584883477,77.46980185095053,3,-527.423885980604,528.5238135395073,528.5238135395073,1055.9476995201112,0.5285238135395073,1.0559476995201111,0.010830406015153837,0.04332162406061535
