baseline_id,ant1,ant2,source_uvh5,pol,baseline_length_m,baseline_class,baseline_enu_e_m,baseline_enu_n_m,baseline_enu_u_m,lst_bin_id,t_start_index,n_time,lst_start,lst_end,flag_fraction,n_sat_visible_center,n_sat_visible_any_bin,n_sat_visible_peak_bin,n_sat_peak_visible,beam_weighted_sat_exposure_center,beam_weighted_sat_exposure_bin_mean,max_sat_beam_response_center,max_sat_beam_response_bin,n_sat_visible,beam_weighted_sat_exposure,max_sat_beam_response,pre_risk_score_bin,bg_window_power_proxy,null_mad_win_proxy,pre_risk_score
0_1,0,1,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,ee,14.60794900739243,short,14.607842476282329,0.055788352425452103,0.00022457272413589635,0,0,62,2461041.5,2461041.5068229535,0.23506804435483872,1,4,4,4,0.33087588566844983,0.5502745938468236,0.33087588566844983,0.7280464634021924,4,0.5502745938468236,0.7280464634021924,1.9557868561271567e-06,298853145.6978643,281357.1387510374,1.9557868561271567e-06
0_1,0,1,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,ee,14.60794900739243,short,14.607842476282329,0.055788352425452103,0.00022457272413589635,1,62,62,2461041.5069444445,2461041.513767398,0.18663894489247312,0,4,4,4,0.0,0.17558204052578452,0.0,0.4821174098933508,4,0.17558204052578452,0.4821174098933508,2.770426838657629e-07,1057854336.4318455,633772.5222545862,2.770426838657629e-07
0_1,0,1,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,ee,14.60794900739243,short,14.607842476282329,0.055788352425452103,0.00022457272413589635,2,124,62,2461041.513888889,2461041.5207118425,0.18695396505376344,1,3,3,3,0.02274717290127737,0.1812254192505289,0.02274717290127737,0.5352241138648121,3,0.1812254192505289,0.5352241138648121,9.03513540225226e-09,2754554813.2613945,20057853.167906415,9.03513540225226e-09
0_1,0,1,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,ee,14.60794900739243,short,14.607842476282329,0.055788352425452103,0.00022457272413589635,3,186,62,2461041.5208333335,2461041.527656287,0.1895476310483871,0,1,1,1,0.0,0.20661704468541942,0.0,0.778550973821895,1,0.20661704468541942,0.778550973821895,1.0575041771224764e-08,5481672187.808206,19538177.64083307,1.0575041771224764e-08
0_1,0,1,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,ee,14.60794900739243,short,14.607842476282329,0.055788352425452103,0.00022457272413589635,4,248,62,2461041.527777778,2461041.5346007315,0.1714654737903226,1,5,5,5,0.006509913503000268,0.29197839306488044,0.006509913503000268,0.7839253298317038,5,0.29197839306488044,0.7839253298317038,1.132417563312786e-08,7306424688.139727,25783633.398507513,1.132417563312786e-08
0_1,0,1,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,ee,14.60794900739243,short,14.607842476282329,0.055788352425452103,0.00022457272413589635,5,310,62,2461041.534722222,2461041.5415451755,0.1678742439516129,0,5,5,5,0.0,0.4265461647481952,0.0,0.642949814682819,5,0.4265461647481952,0.642949814682819,1.7775251235532628e-08,8792917889.207071,23996632.120480627,1.7775251235532628e-08
0_1,0,1,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,ee,14.60794900739243,short,14.607842476282329,0.055788352425452103,0.00022457272413589635,6,372,62,2461041.5416666665,2461041.54848962,0.1676747311827957,0,3,3,3,0.0,0.29099277716989397,0.0,0.5800263647610057,3,0.29099277716989397,0.5800263647610057,1.8730352447857305e-08,6945827414.611472,15535894.371447489,1.8730352447857305e-08
0_1,0,1,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,ee,14.60794900739243,short,14.607842476282329,0.055788352425452103,0.00022457272413589635,7,434,62,2461041.548611111,2461041.5554340645,0.16823126680107528,1,8,8,8,0.0004122087285943486,0.43707188882479064,0.0004122087285943486,0.7170519983903962,8,0.43707188882479064,0.7170519983903962,2.1798787043643264e-08,8737935415.116972,20050284.814000465,2.1798787043643264e-08
0_1,0,1,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,ee,14.60794900739243,short,14.607842476282329,0.055788352425452103,0.00022457272413589635,8,496,62,2461041.5555555555,2461041.562378509,0.16840977822580644,0,2,2,2,0.0,0.2057117264676688,0.0,0.6984661256995437,2,0.2057117264676688,0.6984661256995437,9.940873230993904e-09,12915641394.440458,20693526.784578204,9.940873230993904e-09
0_1,0,1,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,ee,14.60794900739243,short,14.607842476282329,0.055788352425452103,0.00022457272413589635,9,558,62,2461041.5625,2461041.5693229535,0.16663516465053763,1,5,5,5,0.0010971768248922275,0.33286132694916554,0.0010971768248922275,0.6977204569959614,5,0.33286132694916554,0.6977204569959614,9.399222579423801e-09,17724043877.555134,35413708.329223424,9.399222579423801e-09
0_1,0,1,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,ee,14.60794900739243,short,14.607842476282329,0.055788352425452103,0.00022457272413589635,10,620,62,2461041.5694444445,2461041.576267398,0.1665091565860215,1,8,8,8,0.0035743937970326312,0.39560371903806024,0.0035743937970326312,0.6208865344769782,8,0.39560371903806024,0.6208865344769782,5.012211386868577e-09,26377735600.023106,78927979.78842172,5.012211386868577e-09
0_1,0,1,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,ee,14.60794900739243,short,14.607842476282329,0.055788352425452103,0.00022457272413589635,11,682,62,2461041.576388889,2461041.5832118425,0.16794774865591397,1,5,5,5,0.0006393160041250509,0.6121911094018112,0.0006393160041250509,0.6787630996977061,5,0.6121911094018112,0.6787630996977061,7.213808428775885e-09,34061695821.223278,84863788.0318225,7.213808428775885e-09
0_1,0,1,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,ee,14.60794900739243,short,14.607842476282329,0.055788352425452103,0.00022457272413589635,12,744,62,2461041.5833333335,2461041.590156287,0.16685567876344087,0,1,1,1,0.0,0.001343063595186559,0.0,0.001343063595186559,1,0.001343063595186559,0.001343063595186559,1.5533237392630876e-11,42601911771.89939,86463855.61735648,1.5533237392630876e-11
0_1,0,1,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,ee,14.60794900739243,short,14.607842476282329,0.055788352425452103,0.00022457272413589635,13,806,62,2461041.590277778,2461041.5971007315,0.16646715389784947,0,3,3,3,0.0,0.49245886625147556,0.0,0.9450884636561743,3,0.49245886625147556,0.9450884636561743,4.896368133102994e-09,53925080339.575066,100576356.36546546,4.896368133102994e-09
0_1,0,1,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,ee,14.60794900739243,short,14.607842476282329,0.055788352425452103,0.00022457272413589635,14,868,62,2461041.597222222,2461041.6040451755,0.16686617943548387,0,2,2,2,0.0,0.45992065055805087,0.0,0.956171545687925,2,0.45992065055805087,0.956171545687925,2.6412551459366412e-09,67164533467.9714,174129580.5009985,2.6412551459366412e-09
0_1,0,1,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,ee,14.60794900739243,short,14.607842476282329,0.055788352425452103,0.00022457272413589635,15,930,62,2461041.6041666665,2461041.61098962,0.16528057795698925,1,4,4,4,3.084991352301424e-05,0.5125979855485051,3.084991352301424e-05,0.9746270301393545,4,0.5125979855485051,0.9746270301393545,3.7163477674854194e-09,93185230859.59502,137930575.29041278,3.7163477674854194e-09
0_1,0,1,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,ee,14.60794900739243,short,14.607842476282329,0.055788352425452103,0.00022457272413589635,16,992,62,2461041.611111111,2461041.6179340645,0.16574260752688172,0,2,2,2,0.0,0.02123038413644645,0.0,0.051994079844118836,2,0.02123038413644645,0.051994079844118836,2.085329466157339e-10,112785611767.57434,101808296.87103558,2.085329466157339e-10
0_1,0,1,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,ee,14.60794900739243,short,14.607842476282329,0.055788352425452103,0.00022457272413589635,17,1054,62,2461041.6180555555,2461041.624878509,0.1657111055107527,0,2,2,2,0.0,0.06846870788021289,0.0,0.28051662074245665,2,0.06846870788021289,0.28051662074245665,6.108540873789748e-10,126080182904.909,112086845.77031374,6.108540873789748e-10
0_1,0,1,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,ee,14.60794900739243,short,14.607842476282329,0.055788352425452103,0.00022457272413589635,18,1116,62,2461041.625,2461041.6318229535,0.16517557123655913,0,4,4,4,0.0,0.2363981628786352,0.0,0.38438541749119554,4,0.2363981628786352,0.38438541749119554,2.4965002199365908e-09,165814652335.27032,94691825.37650228,2.4965002199365908e-09
0_1,0,1,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,ee,14.60794900739243,short,14.607842476282329,0.055788352425452103,0.00022457272413589635,19,1178,62,2461041.6319444445,2461041.638767398,0.16509156586021506,0,4,4,4,0.0,0.023868672307009665,0.0,0.04932161857556596,4,0.023868672307009665,0.04932161857556596,2.7303110187733926e-10,155923113546.97968,87421074.53286695,2.7303110187733926e-10
0_1,0,1,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,ee,14.60794900739243,short,14.607842476282329,0.055788352425452103,0.00022457272413589635,20,1240,62,2461041.638888889,2461041.6457118425,0.16683467741935484,0,4,4,4,0.0,0.16291867713468297,0.0,0.30801675453485433,4,0.16291867713468297,0.30801675453485433,1.2022302383162149e-09,133924869845.63802,135513707.72611654,1.2022302383162149e-09
0_1,0,1,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,ee,14.60794900739243,short,14.607842476282329,0.055788352425452103,0.00022457272413589635,21,1302,62,2461041.6458333335,2461041.652656287,0.16702368951612903,0,3,3,3,0.0,0.07815271613371509,0.0,0.12194591377078616,3,0.07815271613371509,0.12194591377078616,4.5691161378766237e-10,101139851836.41924,171045589.07105064,4.5691161378766237e-10
0_1,0,1,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,ee,14.60794900739243,short,14.607842476282329,0.055788352425452103,0.00022457272413589635,22,1364,62,2461041.652777778,2461041.6596007315,0.16532258064516128,0,3,3,3,0.0,0.04347690205806057,0.0,0.12295632724432037,3,0.04347690205806057,0.12295632724432037,3.157060496572662e-10,72928629243.34837,137713237.06105584,3.157060496572662e-10
0_1,0,1,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,ee,14.60794900739243,short,14.607842476282329,0.055788352425452103,0.00022457272413589635,23,1426,62,2461041.659722222,2461041.6665451755,0.1648500504032258,0,3,3,3,0.0,0.275505408017723,0.0,0.5786751971552218,3,0.275505408017723,0.5786751971552218,2.397925471696319e-09,56092710651.657,114893232.19992632,2.397925471696319e-09
0_1,0,1,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,ee,14.60794900739243,short,14.607842476282329,0.055788352425452103,0.00022457272413589635,24,1488,62,2461041.6666666665,2461041.67348962,0.16476604502688172,0,5,5,5,0.0,0.22773362399156483,0.0,0.43415361759428933,5,0.22773362399156483,0.43415361759428933,2.677571352880856e-09,23692038694.191116,85052308.22197935,2.677571352880856e-09
0_1,0,1,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,ee,14.60794900739243,short,14.607842476282329,0.055788352425452103,0.00022457272413589635,25,1550,62,2461041.673611111,2461041.6804340645,0.16430401545698925,0,5,5,5,0.0,0.20114597368031706,0.0,0.5088303857540691,5,0.20114597368031706,0.5088303857540691,5.1145078152867825e-09,12531179390.16046,39328510.37574147,5.1145078152867825e-09
0_1,0,1,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,ee,14.60794900739243,short,14.607842476282329,0.055788352425452103,0.00022457272413589635,26,1612,62,2461041.6805555555,2461041.687378509,0.1646505376344086,1,5,5,5,5.2688158235845604e-05,0.05072798537127345,5.2688158235845604e-05,0.13239227252198724,5,0.05072798537127345,0.13239227252198724,6.355539806767056e-09,6153266205.204438,7981695.798248462,6.355539806767056e-09
0_1,0,1,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,ee,14.60794900739243,short,14.607842476282329,0.055788352425452103,0.00022457272413589635,27,1674,62,2461041.6875,2461041.6943229535,0.16433551747311828,0,2,2,2,0.0,0.2437121546123139,0.0,0.8187488961970543,2,0.2437121546123139,0.8187488961970543,4.4652755202550864e-08,4756119855.808107,5457942.147283029,4.4652755202550864e-08
0_1,0,1,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,ee,14.60794900739243,short,14.607842476282329,0.055788352425452103,0.00022457272413589635,28,1736,62,2461041.6944444445,2461041.701267398,0.1651440692204301,0,2,2,2,0.0,0.0007516225380816418,0.0,0.0006365662667992243,2,0.0007516225380816418,0.0006365662667992243,2.038498338462759e-10,3068569328.9901185,3687138.3405121826,2.038498338462759e-10
0_1,0,1,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,ee,14.60794900739243,short,14.607842476282329,0.055788352425452103,0.00022457272413589635,29,1798,62,2461041.701388889,2461041.7082118425,0.16410450268817203,0,2,2,2,0.0,0.15122580595081875,0.0,0.5780989817151402,2,0.15122580595081875,0.5780989817151402,4.909105069601942e-08,2667053133.082743,3080516.7908757143,4.909105069601942e-08
0_1,0,1,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,ee,14.60794900739243,short,14.607842476282329,0.055788352425452103,0.00022457272413589635,30,1860,62,2461041.7083333335,2461041.715156287,0.16453503024193547,0,3,3,3,0.0,0.09986243820864145,0.0,0.22613877759676462,3,0.09986243820864145,0.22613877759676462,2.301973631612618e-08,2894605812.801921,4338122.593467072,2.301973631612618e-08
0_1,0,1,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.0_1.sum.uvh5,ee,14.60794900739243,short,14.607842476282329,0.055788352425452103,0.00022457272413589635,31,1922,62,2461041.715277778,2461041.7221007315,0.16453503024193547,0,4,4,4,0.0,0.09689170230687942,0.0,0.21453219285602132,4,0.09689170230687942,0.21453219285602132,2.6359441721152892e-08,2949679011.91856,3675787.345265582,2.6359441721152892e-08
