case,baseline_id,lst_stratum,lst_bin_id,beam,paired_beam,morphology,flux_jy,multiplicity,residual_model,sigma_cal,ell_nu_mhz,doppler_mode,PTE_max_1000,B_rel,PTE_absint_1000,paired_PTE_max_1000,paired_B_rel,paired_PTE_absint_1000,final_class,primary_seed,paired_seed,seed
2,23_80,stress,0,frozen_polybeam,full_polybeam,smooth,1000.0,multi,smooth,0.0001,0.5,linear,0.01898101898101898,0.028754223743279107,0.03896103896103896,0.07992007992007992,0.034686509944920736,0.03496503496503497,local-only QA candidate,20267592,20267796,10
2,23_80,stress,0,frozen_polybeam,full_polybeam,smooth,1000.0,multi,smooth,0.0001,1.0,linear,0.01898101898101898,0.028754103441589882,0.03896103896103896,0.07992007992007992,0.03468629151249127,0.03496503496503497,local-only QA candidate,20267592,20267796,10
2,23_80,stress,0,frozen_polybeam,full_polybeam,smooth,1000.0,multi,smooth,0.0001,5.0,linear,0.01898101898101898,0.028752147815500926,0.03896103896103896,0.07992007992007992,0.034684577272756,0.03496503496503497,local-only QA candidate,20267592,20267796,10
2,23_80,stress,0,frozen_polybeam,full_polybeam,smooth,1000.0,multi,smooth,0.001,0.5,linear,0.01898101898101898,0.02875354246531027,0.03896103896103896,0.07992007992007992,0.03468482119896964,0.03496503496503497,local-only QA candidate,20267592,20267796,10
2,23_80,stress,0,frozen_polybeam,full_polybeam,smooth,1000.0,multi,smooth,0.001,1.0,linear,0.01898101898101898,0.0287479056216103,0.03896103896103896,0.07992007992007992,0.03467871709748789,0.03496503496503497,local-only QA candidate,20267592,20267796,10
2,23_80,stress,0,frozen_polybeam,full_polybeam,smooth,1000.0,multi,smooth,0.001,5.0,linear,0.01898101898101898,0.028774094314975587,0.03896103896103896,0.07992007992007992,0.03470253837459676,0.03496503496503497,local-only QA candidate,20267592,20267796,10
2,23_80,stress,0,frozen_polybeam,full_polybeam,smooth,1000.0,multi,smooth,0.01,0.5,linear,0.017982017982017984,0.028705815053387693,0.03896103896103896,0.07792207792207792,0.034657094607137826,0.03296703296703297,local-only QA candidate,20267592,20267796,10
2,23_80,stress,0,frozen_polybeam,full_polybeam,smooth,1000.0,multi,smooth,0.01,1.0,linear,0.017982017982017984,0.02877496030236733,0.03896103896103896,0.07792207792207792,0.0346971761591927,0.03596403596403597,local-only QA candidate,20267592,20267796,10
2,23_80,stress,0,frozen_polybeam,full_polybeam,smooth,1000.0,multi,smooth,0.01,5.0,linear,0.017982017982017984,0.02875072035017652,0.03796203796203796,0.07992007992007992,0.03468939988659832,0.03296703296703297,local-only QA candidate,20267592,20267796,10
3,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,white,0.0,,linear,0.002997002997002997,0.030348640069162144,0.4935064935064935,0.002997002997002997,0.03487705799495972,0.5774225774225774,window-integrated candidate,20261227,20261431,10
3,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,white,0.0001,,linear,0.002997002997002997,0.0303487335975374,0.4935064935064935,0.002997002997002997,0.03487720329344611,0.5774225774225774,window-integrated candidate,20261227,20261431,10
3,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,white,0.001,,linear,0.002997002997002997,0.03034756147766207,0.4935064935064935,0.002997002997002997,0.034875999562672746,0.5774225774225774,window-integrated candidate,20261227,20261431,10
3,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,white,0.01,,linear,0.002997002997002997,0.03032485378706988,0.4995004995004995,0.002997002997002997,0.0348576137968085,0.5764235764235764,window-integrated candidate,20261227,20261431,10
3,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,smooth,0.0,0.5,linear,0.002997002997002997,0.030348640069162144,0.4935064935064935,0.002997002997002997,0.03487705799495972,0.5774225774225774,window-integrated candidate,20261227,20261431,10
3,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,smooth,0.0,1.0,linear,0.002997002997002997,0.030348640069162144,0.4935064935064935,0.002997002997002997,0.03487705799495972,0.5774225774225774,window-integrated candidate,20261227,20261431,10
