subset_label,n_tle_records,n_cells,mean_visible_any,max_visible_any,mean_visible_peak,max_visible_peak,mean_exposure,p95_exposure,max_exposure,mean_max_beam,max_max_beam,delta_vs_first1200_mean_visible_any,delta_vs_first1200_mean_exposure,delta_vs_first1200_p95_exposure,delta_vs_first1200_max_exposure
all_available,6364,27,18.77777777777778,26,18.77777777777778,26,1.9501174911761499,3.511378754812108,3.8703836845387385,0.7478687395347664,0.9720643088453184,15.962962962962964,1.8356391768959375,3.0050502993966646,2.9539617569164593
first1200,1200,27,2.814814814814815,4,2.814814814814815,4,0.11447831428021249,0.5063284554154434,0.9164219276222791,0.09417946718395255,0.5352753799169744,0.0,0.0,0.0,0.0
random1200_seed20260618,1200,27,3.925925925925926,6,3.925925925925926,6,0.42621540973630845,0.8371648120889359,2.0825945231016334,0.31943817884637843,0.9626251670072493,1.1111111111111112,0.31173709545609596,0.33083635667349254,1.1661725954793543
random1200_seed20260619,1200,27,3.037037037037037,7,3.037037037037037,7,0.15648831800026744,0.7317158724347791,0.9136500914980098,0.1323741535346753,0.7317158724347791,0.22222222222222232,0.04201000372005495,0.22538741701933573,-0.0027718361242693446
random1200_seed20260620,1200,27,2.4814814814814814,7,2.4814814814814814,7,0.33813369457327663,0.756809214087454,1.8762287905437698,0.26909137746076084,0.8138263678950879,-0.3333333333333335,0.22365538029306414,0.2504807586720107,0.9598068629214906
random1200_seed20260621,1200,27,3.5925925925925926,6,3.5925925925925926,6,0.3065502392383506,0.8665236454691176,1.0558903109989886,0.279589984520181,0.859162077620023,0.7777777777777777,0.19207192495813813,0.3601951900536743,0.13946838337670941
random1200_seed20260622,1200,27,4.333333333333333,7,4.333333333333333,7,0.4131618857666656,0.9606228325547861,1.198649253595569,0.33812603904407407,0.7656232791366961,1.5185185185185182,0.29868357148645314,0.45429437713934273,0.2822273259732899
