baseline_id,baseline_class,lst_stratum,lst_bin_id,rows,max_Z_PS_max,median_Z_PS_max,min_PTE_global_max,max_relative_abs_bias,n_Zgt3,n_candidate_statistical,n_exploratory
0_1,short,quiet,17,24,1.1635612587160495,0.6772175360395589,0.1782178217821782,0.0012362802684671,0,0,0
0_1,short,stress,0,24,1.871103073950239,0.2850744885068608,0.099009900990099,0.0161180595500937,0,0,0
0_1,short,typical,44,24,3.8972951635219166,0.36965784756213965,0.0099009900990099,0.1054206664224907,1,1,6
0_197,mid,quiet,22,24,-0.1979767176869113,-0.5493121175881174,0.594059405940594,0.0018640277940071,0,0,0
0_197,mid,stress,0,24,2.1781666287693398,1.0744371417585474,0.0297029702970297,0.0186079102938939,0,0,2
0_197,mid,typical,36,24,2.9467341324035297,0.5996426429500006,0.0198019801980198,0.0132163200704304,0,0,5
11_10,mid,quiet,16,24,0.5001089148246728,-0.6906166210924141,0.3366336633663366,0.0031543027309756,0,0,0
11_10,mid,stress,64,24,,,1.0,0.0,0,0,0
11_10,mid,typical,44,24,-0.6158819406037035,-1.381028996298681,0.6633663366336634,0.024747498559619,0,0,0
157_146,mid,quiet,16,24,-0.491236846964869,-1.0135344981642718,0.6831683168316832,0.0013084280646,0,0,0
157_146,mid,stress,0,24,0.3462968203794646,-0.3360887635133678,0.4455445544554455,0.0084069671841099,0,0,0
157_146,mid,typical,46,24,0.8408655427052054,0.3452366639525267,0.198019801980198,0.0087254005502357,0,0,0
159_76,mid,quiet,22,24,0.1095309880618687,-0.31350947490657244,0.4752475247524752,0.0012119385193186,0,0,0
159_76,mid,stress,0,24,1.873998162670865,0.05648952297884815,0.1188118811881188,0.034188655342466,0,0,0
159_76,mid,typical,44,24,0.5181645672228149,-0.44159259643985344,0.297029702970297,0.0283934350392788,0,0,0
23_80,long,quiet,48,24,2.2511603513641734,0.5396489932676604,0.0198019801980198,0.0020263818265035,0,0,3
23_80,long,stress,0,24,1.0533930166908818,-0.253376164170467,0.2475247524752475,0.0080197103405069,0,0,0
23_80,long,typical,44,24,1.1750189781818787,0.5123805967898363,0.1683168316831683,0.0115268254050378,0,0,0
4_196,long,quiet,48,24,1.580418204627388,-0.15315541421905346,0.0792079207920792,0.0008931811177766,0,0,0
4_196,long,stress,0,24,0.2590782590300294,-0.16517709954356044,0.3762376237623762,0.0378612416582053,0,0,0
4_196,long,typical,53,24,0.8372283015706337,0.22602860598401436,0.198019801980198,0.01008515638715,0,0,0
4_76,mid,quiet,17,24,1.9341782510034808,1.3017461753045194,0.1386138613861386,0.0033036470460725,0,0,0
4_76,mid,stress,0,24,2.452826766267161,0.21680930152002997,0.1188118811881188,0.0911182875019198,0,0,0
4_76,mid,typical,33,24,1.171103874649851,0.1392232486907216,0.2178217821782178,0.638191504912791,0,0,0
82_0,mid,quiet,17,24,-0.6493413582500774,-1.034766082886077,0.7524752475247525,0.0084940201472863,0,0,0
82_0,mid,stress,64,24,0.8616981064160756,0.31015561349225257,0.1089108910891089,0.0265892667444709,0,0,0
82_0,mid,typical,18,24,0.0973934147927643,-0.46190652594079873,0.4455445544554455,0.0121736882521798,0,0,0
