baseline_id,lst_stratum,lst_bin_id,morphology,flux_jy,multiplicity,candidate_statistical__frozen_polybeam,candidate_statistical__full_polybeam,PTE_global_absint__frozen_polybeam,PTE_global_absint__full_polybeam,PTE_global_max__frozen_polybeam,PTE_global_max__full_polybeam,Z_PS_max__frozen_polybeam,Z_PS_max__full_polybeam,relative_abs_bias__frozen_polybeam,relative_abs_bias__full_polybeam,delta_Z_PS_max,delta_PTE_global_absint,delta_PTE_global_max,delta_relative_abs_bias,frozen_only_candidate,full_only_candidate
0_1,quiet,17,khz_comb,30.0,multi,False,False,0.7029702970297029,0.8316831683168316,0.4851485148514851,0.7326732673267327,0.0582989744686701,-0.655149702215103,3.0165735627560843e-05,2.8672765491509105e-05,-0.7134486766837731,0.12871287128712872,0.24752475247524758,-1.4929701360517385e-06,False,False
0_1,quiet,17,khz_comb,30.0,single,False,False,0.4455445544554455,0.4059405940594059,0.1881188118811881,0.0891089108910891,0.7503783409324793,0.797962960168069,8.279295728182622e-06,9.05763434888764e-06,0.047584619235589654,-0.039603960396039584,-0.09900990099009899,7.783386207050183e-07,False,False
0_1,quiet,17,khz_comb,1000.0,multi,False,False,0.7029702970297029,0.8514851485148515,0.5544554455445545,0.7326732673267327,-0.0600056681887422,-0.633092421933666,0.0010052982972439,0.0009562028802989,-0.5730867537449238,0.14851485148514854,0.17821782178217815,-4.9095416944999986e-05,False,False
0_1,quiet,17,khz_comb,1000.0,single,False,False,0.5544554455445545,0.4752475247524752,0.099009900990099,0.0594059405940594,0.8334702559558089,1.1301812180818889,0.0002759892000641,0.0003039504892596,0.29671096212607995,-0.07920792079207928,-0.0396039603960396,2.7961289195500025e-05,False,False
0_1,quiet,17,lines,30.0,multi,False,False,0.6633663366336634,0.7623762376237624,0.4851485148514851,0.6831683168316832,0.0764807540446542,-0.4309874482791815,3.495346687406e-05,3.416933576295632e-05,-0.5074682023238357,0.09900990099009899,0.19801980198019814,-7.841311111036748e-07,False,False
0_1,quiet,17,lines,30.0,single,False,False,0.3762376237623762,0.3267326732673267,0.1485148514851485,0.1287128712871287,0.9559982650470192,0.9324541960079518,9.35386087137352e-06,1.0551009979056584e-05,-0.023544069039067472,-0.04950495049504949,-0.01980198019801982,1.197149107683063e-06,False,False
0_1,quiet,17,lines,1000.0,multi,False,False,0.6138613861386139,0.8910891089108911,0.4752475247524752,0.7821782178217822,0.0830182511417496,-0.5889397192196707,0.0011639023340669,0.0011379982286345,-0.6719579703614202,0.27722772277227725,0.306930693069307,-2.5904105432399994e-05,False,False
0_1,quiet,17,lines,1000.0,single,False,False,0.4257425742574257,0.4752475247524752,0.1386138613861386,0.1188118811881188,0.8130656669689569,0.6982096154959343,0.0003116079425256,0.0003547397413126,-0.11485605147302258,0.04950495049504955,-0.019801980198019792,4.3131798786999996e-05,False,False
0_1,quiet,17,smooth,30.0,multi,False,False,0.5841584158415841,0.8514851485148515,0.5643564356435643,0.7722772277227723,-0.1373562616825614,-0.6279388700873484,3.495533894613182e-05,3.417677356735349e-05,-0.49058260840478696,0.26732673267326734,0.207920792079208,-7.785653787783318e-07,False,False
0_1,quiet,17,smooth,30.0,single,False,False,0.4158415841584158,0.5148514851485149,0.2376237623762376,0.1683168316831683,0.5799812192439254,0.6402956578889822,9.35558146820412e-06,1.0556849385238116e-05,0.06031443864505681,0.09900990099009904,-0.06930693069306931,1.201267917033996e-06,False,False
0_1,quiet,17,smooth,1000.0,multi,False,False,0.5841584158415841,0.8712871287128713,0.4257425742574257,0.6633663366336634,0.169353086052836,-0.4768391170576432,0.0011639260820762,0.0011383312223176,-0.6461922031104792,0.28712871287128716,0.23762376237623772,-2.5594859758600128e-05,False,False
0_1,quiet,17,smooth,1000.0,single,False,False,0.5148514851485149,0.5247524752475248,0.2178217821782178,0.1386138613861386,0.7290972083561372,0.7234810679629023,0.0003116366834159,0.0003548048768079,-0.005616140393234881,0.00990099009900991,-0.0792079207920792,4.316819339200001e-05,False,False
0_1,stress,0,khz_comb,30.0,multi,False,False,0.0099009900990099,0.0099009900990099,0.1782178217821782,0.3168316831683168,0.8412851870570108,0.451167537140507,0.0010700960951364,0.0011340015175141,-0.39011764991650383,0.0,0.13861386138613857,6.390542237770004e-05,False,False
