baseline_id,baseline_length_m,baseline_class,lst_stratum,lst_bin_id,lst_start,lst_end,beam_model,morphology,flux_jy,multiplicity,injection_mode,n_sat_visible,n_sat_ranked_visible,n_injected,selected_norad_ids,selected_peak_alts_deg,flag_fraction,pre_risk_score,metadata_beam_weighted_sat_exposure,metadata_n_sat_visible_center,metadata_n_sat_visible_any_bin,metadata_n_sat_visible_peak_bin,metadata_n_sat_peak_visible,metadata_beam_weighted_sat_exposure_center,metadata_beam_weighted_sat_exposure_bin_mean,metadata_max_sat_beam_response_center,metadata_max_sat_beam_response_bin,metadata_pre_risk_score_bin,metadata_null_mad_win_proxy,sat_peak_abs_jy_sum,sat_peak_abs_jy_max,sat_mean_abs_jy_sum,zero_coupling,seed,n_null,Z_PS_max,Z_PS_abs_integrated,PTE_global_max,PTE_global_absint,obs_max_bias,obs_abs_integrated,null_max_bias_p50,null_max_bias_p95,null_max_bias_p99,null_abs_integrated_p50,null_abs_integrated_p95,null_abs_integrated_p99,null_mad_win,Z_PS_bin_max,Z_PS_bin_p95,window_abs_bias_sum,window_signed_bias_sum,window_bg_abs_sum,relative_abs_bias,n_window_bins,kperp,kpar_min_window,kpar_max_window,tau_ns_min_window,tau_ns_max_window,null_global_stats_path,z_eff,X_mpc,Y_mpc_per_hz,nu_eff_hz,PS_gt_2,PS_gt_3,flag_exploratory,candidate_statistical,candidate_floor_1em08,candidate_floor_1em07,candidate_floor_1em06,candidate_floor_1em05,candidate_floor_1em04,candidate_floor_1em03,candidate_floor_1em02,candidate_floor_1em01
0_1,14.60794900739243,short,quiet,17,2461041.6180555555,2461041.624878509,frozen_polybeam,smooth,30.0,single,coherent_ab,2,4,1,47854,83.414,0.1657111055107527,6.108540873789748e-10,0.0684687078802128,0,2,2,2,0.0,0.0684687078802128,0.0,0.2805166207424566,6.108540873789748e-10,112086845.77031374,0.8208425581606428,0.8208425581606428,0.004327141497048734,False,20260622,100,-0.0898404774741957,-0.7839854445595399,0.5148514851485149,0.8316831683168316,1573.8371798358858,51416.609854348775,1598.7289045844227,1876.2335857961327,1909.139680403471,54646.04906601756,59463.88789084508,59486.48366433329,186.87832926027477,1.1856858746067822,1.0746065658163226,51416.609854348775,4552.761245085662,3315845847.160797,1.5506332991436983e-05,1481,0.004558137949787341,-1.445965571882522,1.4440828042107998,-4095.9999999999995,4090.666666666666,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\paper_final_experiment_check\outputs\random1200_null_random1200_seed3\0_1_lst017_quiet_frozen_polybeam_smooth_S30_single.npz,9.10175923472585,9444.443085672718,1.7798436919007438e-05,140609741.2109375,False,False,False,False,False,False,False,False,False,False,False,False
0_1,14.60794900739243,short,quiet,17,2461041.6180555555,2461041.624878509,frozen_polybeam,smooth,30.0,multi,coherent_ab,2,4,4,47854;47857;58206;59742,83.414;83.372;82.276;76.763,0.1657111055107527,6.108540873789748e-10,0.0684687078802128,0,2,2,2,0.0,0.0684687078802128,0.0,0.2805166207424566,6.108540873789748e-10,112086845.77031374,3.081496703069929,1.3387308909412927,0.01177435854214201,False,20260639,100,0.9767949380810949,1.2866859395005203,0.19801980198019803,0.15841584158415842,3117.054868232459,107401.5833658838,2123.700871968642,4304.703560357727,4481.218269323446,78345.98557564925,129598.78000901731,139905.64450958246,685.9250240232795,2.650766897774131,1.7543333572239834,107401.5833658838,7051.950463002931,3315845847.160797,3.239040302728389e-05,1481,0.004558137949787341,-1.445965571882522,1.4440828042107998,-4095.9999999999995,4090.666666666666,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\paper_final_experiment_check\outputs\random1200_null_random1200_seed3\0_1_lst017_quiet_frozen_polybeam_smooth_S30_multi.npz,9.10175923472585,9444.443085672718,1.7798436919007438e-05,140609741.2109375,False,False,False,False,False,False,False,False,False,False,False,False
0_1,14.60794900739243,short,quiet,17,2461041.6180555555,2461041.624878509,frozen_polybeam,smooth,1000.0,single,coherent_ab,2,4,1,47854,83.414,0.1657111055107527,6.108540873789748e-10,0.0684687078802128,0,2,2,2,0.0,0.0684687078802128,0.0,0.2805166207424566,6.108540873789748e-10,112086845.77031374,27.36141860535476,27.36141860535476,0.1442380499016245,False,20260656,100,0.0058338718889550676,-0.6881373876646902,0.4752475247524752,0.7821782178217822,53959.13111561537,1722654.0042847265,53897.3608168643,63803.4156013608,64348.642697118,1819219.4776600464,1985782.090462753,1991152.7980391465,7141.6542068030685,1.1089008315943147,1.0154495834130954,1722654.0042847265,200314.00954506843,3315845847.160797,0.0005195217400591025,1481,0.004558137949787341,-1.445965571882522,1.4440828042107998,-4095.9999999999995,4090.666666666666,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\paper_final_experiment_check\outputs\random1200_null_random1200_seed3\0_1_lst017_quiet_frozen_polybeam_smooth_S1000_single.npz,9.10175923472585,9444.443085672718,1.7798436919007438e-05,140609741.2109375,False,False,False,False,False,False,False,False,False,False,False,False
0_1,14.60794900739243,short,quiet,17,2461041.6180555555,2461041.624878509,frozen_polybeam,smooth,1000.0,multi,coherent_ab,2,4,4,47854;47857;58206;59742,83.414;83.372;82.276;76.763,0.1657111055107527,6.108540873789748e-10,0.0684687078802128,0,2,2,2,0.0,0.0684687078802128,0.0,0.2805166207424566,6.108540873789748e-10,112086845.77031374,102.71655676899762,44.624363031376426,0.39247861807140033,False,20260673,100,1.2652603341801194,1.5097899680587832,0.16831683168316833,0.19801980198019803,105882.73102059588,3591697.427888808,65815.93885082938,127177.36097311412,144409.67387340884,2446918.409710549,4176469.8514170554,4322651.490965343,21358.9886210165,2.4267743585335144,1.5819858218257945,3591697.427888808,298970.25495160336,3315845847.160797,0.0010831919194808797,1481,0.004558137949787341,-1.445965571882522,1.4440828042107998,-4095.9999999999995,4090.666666666666,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\paper_final_experiment_check\outputs\random1200_null_random1200_seed3\0_1_lst017_quiet_frozen_polybeam_smooth_S1000_multi.npz,9.10175923472585,9444.443085672718,1.7798436919007438e-05,140609741.2109375,False,False,False,False,False,False,False,False,False,False,False,False
0_1,14.60794900739243,short,quiet,17,2461041.6180555555,2461041.624878509,frozen_polybeam,lines,30.0,single,coherent_ab,2,4,1,47854,83.414,0.1657111055107527,6.108540873789748e-10,0.0684687078802128,0,2,2,2,0.0,0.0684687078802128,0.0,0.2805166207424566,6.108540873789748e-10,112086845.77031374,0.8208421939831133,0.8208421939831133,0.004332248352736569,False,20260690,100,-0.6270730418365441,-0.980085755981725,0.6732673267326733,0.8316831683168316,1568.5961449369788,51377.67085293933,1701.9323709178716,1872.2055933278054,1897.8649115228652,55771.05137033477,59423.99769890453,59446.87117374731,143.41878270544112,0.9523950503081127,0.8332048907092491,51377.67085293933,4540.979920843392,3315845847.160797,1.5494589682729554e-05,1481,0.004558137949787341,-1.445965571882522,1.4440828042107998,-4095.9999999999995,4090.666666666666,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\paper_final_experiment_check\outputs\random1200_null_random1200_seed3\0_1_lst017_quiet_frozen_polybeam_lines_S30_single.npz,9.10175923472585,9444.443085672718,1.7798436919007438e-05,140609741.2109375,False,False,False,False,False,False,False,False,False,False,False,False
0_1,14.60794900739243,short,quiet,17,2461041.6180555555,2461041.624878509,frozen_polybeam,lines,30.0,multi,coherent_ab,2,4,4,47854;47857;58206;59742,83.414;83.372;82.276;76.763,0.1657111055107527,6.108540873789748e-10,0.0684687078802128,0,2,2,2,0.0,0.0684687078802128,0.0,0.2805166207424566,6.108540873789748e-10,112086845.77031374,3.0814656644937726,1.338702934100962,0.01178809800991943,False,20260707,100,0.8370119275092166,0.7864219120001948,0.26732673267326734,0.22772277227722773,3101.1506374292076,107383.7568625228,2031.734661385417,4054.228525954857,4564.3181381403665,82176.83525801502,132580.9950211647,147477.17008785653,861.7693131621927,3.039203178733072,1.740403916177947,107383.7568625228,7025.9155158521735,3315845847.160797,3.2385026871641355e-05,1481,0.004558137949787341,-1.445965571882522,1.4440828042107998,-4095.9999999999995,4090.666666666666,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\paper_final_experiment_check\outputs\random1200_null_random1200_seed3\0_1_lst017_quiet_frozen_polybeam_lines_S30_multi.npz,9.10175923472585,9444.443085672718,1.7798436919007438e-05,140609741.2109375,False,False,False,False,False,False,False,False,False,False,False,False
0_1,14.60794900739243,short,quiet,17,2461041.6180555555,2461041.624878509,frozen_polybeam,lines,1000.0,single,coherent_ab,2,4,1,47854,83.414,0.1657111055107527,6.108540873789748e-10,0.0684687078802128,0,2,2,2,0.0,0.0684687078802128,0.0,0.2805166207424566,6.108540873789748e-10,112086845.77031374,27.361406466103777,27.361406466103777,0.14440827842455226,False,20260724,100,0.01193419342543903,-0.925939020636427,0.48514851485148514,0.7920792079207921,53773.01844805479,1721276.9110283684,53648.912946119905,63917.416407347286,64491.33404234886,1853606.8035026405,1982543.997233092,1987122.3824226265,7014.132524184883,1.0583844901357418,0.9963556844589501,1721276.9110283684,199894.87057451185,3315845847.160797,0.0005191064332807319,1481,0.004558137949787341,-1.445965571882522,1.4440828042107998,-4095.9999999999995,4090.666666666666,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\paper_final_experiment_check\outputs\random1200_null_random1200_seed3\0_1_lst017_quiet_frozen_polybeam_lines_S1000_single.npz,9.10175923472585,9444.443085672718,1.7798436919007438e-05,140609741.2109375,False,False,False,False,False,False,False,False,False,False,False,False
0_1,14.60794900739243,short,quiet,17,2461041.6180555555,2461041.624878509,frozen_polybeam,lines,1000.0,multi,coherent_ab,2,4,4,47854;47857;58206;59742,83.414;83.372;82.276;76.763,0.1657111055107527,6.108540873789748e-10,0.0684687078802128,0,2,2,2,0.0,0.0684687078802128,0.0,0.2805166207424566,6.108540873789748e-10,112086845.77031374,102.71552214979243,44.623431136698734,0.39293660033064765,False,20260741,100,0.6041937589726689,0.6214699785116545,0.297029702970297,0.26732673267326734,105335.99586691335,3590834.5929169683,76493.20849961042,134076.94687385688,144234.4899318836,2864712.1886109216,4239029.347340874,4486563.257797385,32198.60064405948,3.027730717469293,1.9122964314982425,3590834.5929169683,298066.64999710966,3315845847.160797,0.0010829317038340703,1481,0.004558137949787341,-1.445965571882522,1.4440828042107998,-4095.9999999999995,4090.666666666666,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\paper_final_experiment_check\outputs\random1200_null_random1200_seed3\0_1_lst017_quiet_frozen_polybeam_lines_S1000_multi.npz,9.10175923472585,9444.443085672718,1.7798436919007438e-05,140609741.2109375,False,False,False,False,False,False,False,False,False,False,False,False
0_1,14.60794900739243,short,quiet,17,2461041.6180555555,2461041.624878509,frozen_polybeam,khz_comb,30.0,single,coherent_ab,2,4,1,47854,83.414,0.1657111055107527,6.108540873789748e-10,0.0684687078802128,0,2,2,2,0.0,0.0684687078802128,0.0,0.2805166207424566,6.108540873789748e-10,112086845.77031374,0.7950487246894365,0.7950487246894365,0.003912426803989681,False,20260758,100,0.043795661087707535,-0.7650543711660872,0.45544554455445546,0.8217821782178217,1396.7057881206274,46877.93146552651,1385.3296948075294,1651.6856023788453,1682.1102886898816,49178.14576468815,53042.68307143165,53126.21556198485,175.20159824192524,0.8010141170892635,0.7769076721377502,46877.93146552651,2804.3789030094213,3315845847.160797,1.4137548494802881e-05,1481,0.004558137949787341,-1.445965571882522,1.4440828042107998,-4095.9999999999995,4090.666666666666,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\paper_final_experiment_check\outputs\random1200_null_random1200_seed3\0_1_lst017_quiet_frozen_polybeam_khz_comb_S30_single.npz,9.10175923472585,9444.443085672718,1.7798436919007438e-05,140609741.2109375,False,False,False,False,False,False,False,False,False,False,False,False
0_1,14.60794900739243,short,quiet,17,2461041.6180555555,2461041.624878509,frozen_polybeam,khz_comb,30.0,multi,coherent_ab,2,4,4,47854;47857;58206;59742,83.414;83.372;82.276;76.763,0.1657111055107527,6.108540873789748e-10,0.0684687078802128,0,2,2,2,0.0,0.0684687078802128,0.0,0.2805166207424566,6.108540873789748e-10,112086845.77031374,2.773265119735689,1.101723464370252,0.010575304914381651,False,20260775,100,1.019908461271856,0.723760788721531,0.26732673267326734,0.26732673267326734,2730.773050773889,97970.16812726864,1851.173136562109,3691.9019996602087,3983.5722442259644,76107.81156513335,120941.28275557491,124495.88214730362,581.7012376114726,2.6513478677965736,1.6757506211773059,97970.16812726864,4069.5513454337092,3315845847.160797,2.9546056313551456e-05,1481,0.004558137949787341,-1.445965571882522,1.4440828042107998,-4095.9999999999995,4090.666666666666,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\paper_final_experiment_check\outputs\random1200_null_random1200_seed3\0_1_lst017_quiet_frozen_polybeam_khz_comb_S30_multi.npz,9.10175923472585,9444.443085672718,1.7798436919007438e-05,140609741.2109375,False,False,False,False,False,False,False,False,False,False,False,False
