case_id,old_row_index,baseline_id,baseline_length_m,lst_stratum,lst_bin_id,beam_model,morphology,flux_jy,multiplicity,N_null,Z_PS_max_old,Z_PS_max_new,PTE_global_max_old,PTE_global_max_new,PTE_global_absint_old,PTE_global_absint_new,relative_abs_bias,window_abs_bias_sum,window_bg_abs_sum,null_mad_win,n_null_exceed_max,n_null_exceed_absint,retained_PTE001,retained_PTE005,retained_physical_floor_1e3,retained_physical_floor_1e2
0_197_lst036_typical_full_polybeam_smooth_S1000_multi,111,0_197,160.250312485456,typical,36,full_polybeam,smooth,1000.0,multi,1000,2.7230925652354063,2.7751486723058685,0.0198019801980198,0.02197802197802198,0.8514851485148515,0.913086913086913,0.013216320070430429,51898.7911760764,3926871.5421165004,26.70961757844225,21,913,False,True,False,False
0_197_lst036_typical_full_polybeam_khz_comb_S1000_multi,119,0_197,160.250312485456,typical,36,full_polybeam,khz_comb,1000.0,multi,1000,2.9467341324035297,2.293167339463753,0.0297029702970297,0.024975024975024976,0.9306930693069309,0.903096903096903,0.011662735242377478,45798.063126531306,3926871.5421165004,22.707470092402218,24,903,False,True,False,False
0_197_lst000_stress_frozen_polybeam_smooth_S1000_single,122,0_197,160.250312485456,stress,0,frozen_polybeam,smooth,1000.0,single,1000,1.2779165534420471,1.0504214186212386,0.0297029702970297,0.03996003996003996,0.0693069306930693,0.08891108891108891,0.009555020454082483,65015.99162564309,6804380.162039771,144.6088957260945,39,88,False,True,False,False
23_80_lst048_quiet_full_polybeam_lines_S1000_single,378,23_80,207.2758462936688,quiet,48,full_polybeam,lines,1000.0,single,1000,1.02812528517373,1.0902511556936312,0.0198019801980198,0.03396603396603397,0.99009900990099,0.9690309690309691,0.0017963423405841096,9011.295841495092,5016469.09829277,7.507327914480811,33,969,False,True,False,False
