case,baseline_id,lst_stratum,lst_bin_id,TLE_set,beam,paired_beam,morphology,flux_jy,multiplicity,PTE_max_1000,B_rel,PTE_absint_1000,paired_PTE_max_1000,paired_B_rel,paired_PTE_absint_1000,final_class,primary_seed,paired_seed,primary_coarse_PTE_max,primary_coarse_PTE_absint,paired_coarse_PTE_max,paired_coarse_PTE_absint,primary_selected_norad_ids,paired_selected_norad_ids
1,82_0,typical,18,all_available,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,0.003996003996003996,0.026818709896426596,0.000999000999000999,0.011988011988011988,0.024656801558246212,0.1068931068931069,beam-sensitive candidate,20271010,20271214,0.0099009900990099,0.0099009900990099,0.0297029702970297,0.1089108910891089,51852;51852;59338;59338;44933;54377;54377;54377;54377;56383;56383;55671,51852;51852;59338;59338;44933;54377;54377;54377;54377;56383;56383;55671
2,23_80,stress,0,all_available,frozen_polybeam,full_polybeam,smooth,1000.0,multi,0.01898101898101898,0.02875392180858839,0.03896103896103896,0.07992007992007992,0.034686555037455886,0.03496503496503497,local-only QA candidate,20267592,20267796,0.0099009900990099,0.0198019801980198,0.0693069306930693,0.0495049504950495,58881;58881;46696;46696;48029;48029;54100;54100;58069;58069,58881;58881;46696;46696;48029;48029;54100;54100;58069;58069
3,0_1,typical,44,all_available,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,0.002997002997002997,0.03034927943642746,0.4935064935064935,0.002997002997002997,0.034877657347827204,0.5774225774225774,window-integrated candidate,20261227,20261431,0.0099009900990099,0.4554455445544554,0.0099009900990099,0.6435643564356436,57722,57722
4,0_1,typical,44,all_available,frozen_polybeam,full_polybeam,smooth,1000.0,single,0.001998001998001998,0.0312617424200368,0.5164835164835165,0.006993006993006993,0.039815944148688984,0.4985014985014985,window-integrated candidate,20261091,20261295,0.0099009900990099,0.5841584158415841,0.0198019801980198,0.5247524752475248,57722,57722
5,0_1,typical,44,all_available,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,0.002997002997002997,0.034877657347827204,0.5774225774225774,0.002997002997002997,0.03034927943642746,0.4935064935064935,window-integrated candidate,20261431,20261227,0.0099009900990099,0.6435643564356436,0.0099009900990099,0.4554455445544554,57722,57722
