baseline_class,lst_stratum,n_cells,median_cell_Z_PS,max_cell_p95_Z_PS,min_cell_PTE,median_cell_Brel,max_cell_Brel_p95,total_candidate_statistical,total_candidate_physical_1e2
long,quiet,2,0.19324678952430346,1.8533257260167169,0.0198019801980198,0.0001995923421594691,0.0019917303216577297,0,0
long,stress,2,-0.20927663185701373,0.8729811792881622,0.2475247524752475,0.007213960470477925,0.03759527664858541,0,0
long,typical,2,0.36920460138692535,1.1644186486529324,0.1683168316831683,0.00416006819140925,0.011496948394544456,0,0
mid,quiet,6,-0.6199643693402657,1.8935022862880013,0.1386138613861386,0.0004670789616697007,0.008459867327235995,0,0
mid,stress,6,0.21680930152002997,2.1449871430381764,0.0297029702970297,0.00318362525216755,0.08862586247192372,0,0
mid,typical,6,-0.1511846738745659,2.662317835931451,0.0198019801980198,0.002955638847458375,0.6096169107200469,0,0
short,quiet,1,0.6772175360395589,1.1128450655522786,0.1782178217821782,0.0005234840192348509,0.00123538200233312,0,0
short,stress,1,0.2850744885068608,1.5250477736581,0.099009900990099,0.004133551531678,0.015674598548343025,0,0
short,typical,1,0.36965784756213965,2.3560815444596703,0.0099009900990099,0.0261095511949216,0.105338858721917,1,0
