term,sum_sq,df,F,PR(>F),partial_eta_sq
C(beam_model),1.186361208013405,1.0,3.6175864771288486,0.05764022621403439,0.005866823386917833
C(morphology),0.30749471596254596,2.0,0.4688237944484921,0.625962006535613,0.0015272684328439306
C(flux_jy),406.6869202232178,1.0,1240.1156520350992,2.184822978703534e-149,0.6692057512293953
C(multiplicity),53.390750459752404,1.0,162.80510148371167,3.1039127619817604e-33,0.2098530947687121
C(lst_stratum),87.47780614364027,2.0,133.373599211007,8.145943481875183e-49,0.30320892058590626
C(beam_model):C(morphology),0.019363870400099986,2.0,0.02952324942484371,0.9709096847620877,9.631453803169385e-05
baseline_length_m,19.666855751906997,1.0,59.9703959765166,3.999397787863376e-14,0.08911297782942783
Residual,201.02889733527576,613.0,,,0.5
