"baseline_id","baseline_length_m","baseline_class","lst_stratum","lst_bin_id","lst_start","lst_end","beam_model","morphology","flux_jy","multiplicity","injection_mode","n_sat_visible","n_sat_ranked_visible","n_injected","selected_norad_ids","selected_peak_alts_deg","flag_fraction","pre_risk_score","metadata_beam_weighted_sat_exposure","metadata_null_mad_win_proxy","sat_peak_abs_jy_sum","sat_peak_abs_jy_max","sat_mean_abs_jy_sum","zero_coupling","seed","n_null","Z_PS_max","Z_PS_abs_integrated","PTE_global_max","PTE_global_absint","obs_max_bias","obs_abs_integrated","null_max_bias_p50","null_max_bias_p95","null_max_bias_p99","null_abs_integrated_p50","null_abs_integrated_p95","null_abs_integrated_p99","null_mad_win","Z_PS_bin_max","Z_PS_bin_p95","window_abs_bias_sum","window_signed_bias_sum","window_bg_abs_sum","relative_abs_bias","n_window_bins","kperp","kpar_min_window","kpar_max_window","tau_ns_min_window","tau_ns_max_window","null_global_stats_path","z_eff","X_mpc","Y_mpc_per_hz","nu_eff_hz","PS_gt_2","PS_gt_3","flag_exploratory","candidate_statistical","candidate_floor_1em08","candidate_floor_1em07","candidate_floor_1em06","candidate_floor_1em05","candidate_floor_1em04","metadata_n_sat_visible_center","metadata_n_sat_visible_any_bin","metadata_n_sat_visible_peak_bin","metadata_n_sat_peak_visible","metadata_beam_weighted_sat_exposure_center","metadata_beam_weighted_sat_exposure_bin_mean","metadata_max_sat_beam_response_center","metadata_max_sat_beam_response_bin","metadata_pre_risk_score_bin"
"0_1","14.60794900739243","short","quiet","17","2461041.6180555555","2461041.624878509","frozen_polybeam","smooth","30.0","single","coherent_ab","2","2","1","46168","83.229","0.1657111055107527","6.108540873789748e-10","0.0684687078802128","112086845.77031374","2.8244797714226975","2.8244797714226975","0.004177352526629006","False","20260622","100","0.5162555420652328","-0.3311188342224874","0.27722772277227725","0.6534653465346535","3905.6027009747922","106107.44900250586","3423.717138271779","5063.7114775765685","5135.587901112735","110101.25711061966","123458.59284942455","123625.49706451115","629.5861887857318","1.1871324523742628","1.0681934563781172","106107.44900250586","4667.374974256522","3315845847.160797","3.200011517222994e-05","1481","0.004558137949787341","-1.445965571882522","1.4440828042107998","-4095.9999999999995","4090.666666666666","C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\outputs\coverage_null_global_stats\0_1_lst017_quiet_frozen_polybeam_smooth_S30_single.npz","9.10175923472585","9444.443085672718","1.7798436919007438e-05","140609741.2109375","False","False","False","False","False","False","False","False","False","0","2","2","2","0.0","0.0684687078802128","0.0","0.2805166207424566","6.108540873789748e-10"
"0_1","14.60794900739243","short","quiet","17","2461041.6180555555","2461041.624878509","frozen_polybeam","smooth","30.0","multi","coherent_ab","2","2","2","46168;47826","83.229;73.757","0.1657111055107527","6.108540873789748e-10","0.0684687078802128","112086845.77031374","2.888620790816975","2.8244797714226975","0.004794975418114177","False","20260639","100","0.21234554118490961","-0.8275099248701159","0.37623762376237624","0.7524752475247525","3906.5547252371907","106150.79494134543","3613.710041463375","5078.654956846684","5129.350426886082","114322.5456906902","123022.89462654734","124248.69881262108","930.1868646033108","1.0417452570659624","0.8512432219979505","106150.79494134543","4957.25870077255","3315845847.160797","3.201318753470924e-05","1481","0.004558137949787341","-1.445965571882522","1.4440828042107998","-4095.9999999999995","4090.666666666666","C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\outputs\coverage_null_global_stats\0_1_lst017_quiet_frozen_polybeam_smooth_S30_multi.npz","9.10175923472585","9444.443085672718","1.7798436919007438e-05","140609741.2109375","False","False","False","False","False","False","False","False","False","0","2","2","2","0.0","0.0684687078802128","0.0","0.2805166207424566","6.108540873789748e-10"
"0_1","14.60794900739243","short","quiet","17","2461041.6180555555","2461041.624878509","frozen_polybeam","smooth","1000.0","single","coherent_ab","2","2","1","46168","83.229","0.1657111055107527","6.108540873789748e-10","0.0684687078802128","112086845.77031374","94.1493257140899","94.1493257140899","0.13924508422096682","False","20260656","100","1.1137332246773233","-1.2413034961662976","0.2871287128712871","0.801980198019802","129165.16162964329","3540021.470360944","95562.08319725096","168390.55199483075","169967.29753790886","3882823.047792634","4119703.430513669","4135508.8265733607","20350.44424501434","1.1060367490601704","1.0161064021658441","3540021.470360944","105227.6321368455","3315845847.160797","0.0010676073718541826","1481","0.004558137949787341","-1.445965571882522","1.4440828042107998","-4095.9999999999995","4090.666666666666","C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\outputs\coverage_null_global_stats\0_1_lst017_quiet_frozen_polybeam_smooth_S1000_single.npz","9.10175923472585","9444.443085672718","1.7798436919007438e-05","140609741.2109375","False","False","False","False","False","False","False","False","False","0","2","2","2","0.0","0.0684687078802128","0.0","0.2805166207424566","6.108540873789748e-10"
"0_1","14.60794900739243","short","quiet","17","2461041.6180555555","2461041.624878509","frozen_polybeam","smooth","1000.0","multi","coherent_ab","2","2","2","46168;47826","83.229;73.757","0.1657111055107527","6.108540873789748e-10","0.0684687078802128","112086845.77031374","96.28735969389915","94.1493257140899","0.1598325139371392","False","20260673","100","0.26428435028665226","-0.43105509304272743","0.3564356435643564","0.7029702970297029","129209.69913754612","3541468.7136351606","117230.06342500262","169728.6129816741","170387.30500749976","3689805.200622945","4142196.380499398","4167404.466477437","30573.71191764623","1.1903935202283198","0.7385185273315267","3541468.7136351606","115028.82541061897","3315845847.160797","0.0010680438346274612","1481","0.004558137949787341","-1.445965571882522","1.4440828042107998","-4095.9999999999995","4090.666666666666","C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\outputs\coverage_null_global_stats\0_1_lst017_quiet_frozen_polybeam_smooth_S1000_multi.npz","9.10175923472585","9444.443085672718","1.7798436919007438e-05","140609741.2109375","False","False","False","False","False","False","False","False","False","0","2","2","2","0.0","0.0684687078802128","0.0","0.2805166207424566","6.108540873789748e-10"
"0_1","14.60794900739243","short","quiet","17","2461041.6180555555","2461041.624878509","frozen_polybeam","lines","30.0","single","coherent_ab","2","2","1","46168","83.229","0.1657111055107527","6.108540873789748e-10","0.0684687078802128","112086845.77031374","2.824420787551837","2.824420787551837","0.004182013885319988","False","20260690","100","0.15932052726132406","-0.6062596580502161","0.3564356435643564","0.7029702970297029","3914.7478569075465","106119.01063501435","3672.674546489492","5099.600815933571","5138.248726843744","113072.84698354892","123269.06609256669","123646.05710672068","1024.8284624684602","0.9521758105148836","0.8334478664231371","106119.01063501435","4691.084040971762","3315845847.160797","3.20036019544995e-05","1481","0.004558137949787341","-1.445965571882522","1.4440828042107998","-4095.9999999999995","4090.666666666666","C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\outputs\coverage_null_global_stats\0_1_lst017_quiet_frozen_polybeam_lines_S30_single.npz","9.10175923472585","9444.443085672718","1.7798436919007438e-05","140609741.2109375","False","False","False","False","False","False","False","False","False","0","2","2","2","0.0","0.0684687078802128","0.0","0.2805166207424566","6.108540873789748e-10"
"0_1","14.60794900739243","short","quiet","17","2461041.6180555555","2461041.624878509","frozen_polybeam","lines","30.0","multi","coherent_ab","2","2","2","46168;47826","83.229;73.757","0.1657111055107527","6.108540873789748e-10","0.0684687078802128","112086845.77031374","2.888561433693593","2.824420787551837","0.004800357383315165","False","20260707","100","1.1635612587160495","-0.5949934163722858","0.2376237623762376","0.7128712871287128","3915.847168147564","106156.88715551622","2881.986188955605","5068.583293316886","5170.533202950582","112619.36864475103","123074.77819024937","124689.75448920924","599.3063724189997","1.332188791697554","1.0864854212521147","106156.88715551622","4981.446321736812","3315845847.160797","3.201502483790475e-05","1481","0.004558137949787341","-1.445965571882522","1.4440828042107998","-4095.9999999999995","4090.666666666666","C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\outputs\coverage_null_global_stats\0_1_lst017_quiet_frozen_polybeam_lines_S30_multi.npz","9.10175923472585","9444.443085672718","1.7798436919007438e-05","140609741.2109375","False","False","False","False","False","False","False","False","False","0","2","2","2","0.0","0.0684687078802128","0.0","0.2805166207424566","6.108540873789748e-10"
"0_1","14.60794900739243","short","quiet","17","2461041.6180555555","2461041.624878509","frozen_polybeam","lines","1000.0","single","coherent_ab","2","2","1","46168","83.229","0.1657111055107527","6.108540873789748e-10","0.0684687078802128","112086845.77031374","94.14735958506124","94.14735958506124","0.13940046284399965","False","20260724","100","1.1078121638436926","-0.7244652188586076","0.297029702970297","0.7623762376237624","129465.70407240838","3540476.1205887194","95023.37206525728","167339.39186028464","170459.58983565294","3794081.521546955","4112200.41177649","4135952.974246012","20970.192810526118","1.0574554275247359","0.9941697325863625","3540476.1205887194","106040.85742726599","3315845847.160797","0.0010677444862583895","1481","0.004558137949787341","-1.445965571882522","1.4440828042107998","-4095.9999999999995","4090.666666666666","C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\outputs\coverage_null_global_stats\0_1_lst017_quiet_frozen_polybeam_lines_S1000_single.npz","9.10175923472585","9444.443085672718","1.7798436919007438e-05","140609741.2109375","False","False","False","False","False","False","False","False","False","0","2","2","2","0.0","0.0684687078802128","0.0","0.2805166207424566","6.108540873789748e-10"
"0_1","14.60794900739243","short","quiet","17","2461041.6180555555","2461041.624878509","frozen_polybeam","lines","1000.0","multi","coherent_ab","2","2","2","46168;47826","83.229;73.757","0.1657111055107527","6.108540873789748e-10","0.0684687078802128","112086845.77031374","96.28538112311978","94.14735958506124","0.16001191277717222","False","20260741","100","0.9350175267793205","-0.9153399132554831","0.33663366336633666","0.8118811881188119","129515.33029496297","3541821.5916759735","96392.8070324324","169936.6843236219","170769.66422412515","3854976.063286065","4137447.236257274","4168580.700160549","23893.494219385087","1.6330203484471209","1.2600412952732307","3541821.5916759735","115858.06208238952","3315845847.160797","0.0010681502563542479","1481","0.004558137949787341","-1.445965571882522","1.4440828042107998","-4095.9999999999995","4090.666666666666","C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\outputs\coverage_null_global_stats\0_1_lst017_quiet_frozen_polybeam_lines_S1000_multi.npz","9.10175923472585","9444.443085672718","1.7798436919007438e-05","140609741.2109375","False","False","False","False","False","False","False","False","False","0","2","2","2","0.0","0.0684687078802128","0.0","0.2805166207424566","6.108540873789748e-10"
"0_1","14.60794900739243","short","quiet","17","2461041.6180555555","2461041.624878509","frozen_polybeam","khz_comb","30.0","single","coherent_ab","2","2","1","46168","83.229","0.1657111055107527","6.108540873789748e-10","0.0684687078802128","112086845.77031374","2.3244370170823023","2.3244370170823023","0.003657742744266182","False","20260758","100","0.9176757061627446","-0.6343025620598755","0.2871287128712871","0.6633663366336634","3593.728601772338","100564.26496678812","2757.7989766336977","4572.633513096347","4690.869908543154","106034.68815897204","113013.0738062316","113115.95319926948","614.4074687194079","0.8043834965555358","0.7768716049888928","100564.26496678812","5558.99225533158","3315845847.160797","3.0328389678578263e-05","1481","0.004558137949787341","-1.445965571882522","1.4440828042107998","-4095.9999999999995","4090.666666666666","C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\outputs\coverage_null_global_stats\0_1_lst017_quiet_frozen_polybeam_khz_comb_S30_single.npz","9.10175923472585","9444.443085672718","1.7798436919007438e-05","140609741.2109375","False","False","False","False","False","False","False","False","False","0","2","2","2","0.0","0.0684687078802128","0.0","0.2805166207424566","6.108540873789748e-10"
"0_1","14.60794900739243","short","quiet","17","2461041.6180555555","2461041.624878509","frozen_polybeam","khz_comb","30.0","multi","coherent_ab","2","2","2","46168;47826","83.229;73.757","0.1657111055107527","6.108540873789748e-10","0.0684687078802128","112086845.77031374","2.3781679259508874","2.3244370170823023","0.004212212739178543","False","20260775","100","1.0043489759675481","-0.5642596558510379","0.19801980198019803","0.6633663366336634","3595.3004071563482","100750.25882150025","2738.6638270188123","4523.608406207338","4670.098022189513","105662.39866904366","113069.06304253577","113632.83954305018","575.2915285006166","1.687664609282436","1.3290177914969168","100750.25882150025","5789.88636104","3315845847.160797","3.0384482109675863e-05","1481","0.004558137949787341","-1.445965571882522","1.4440828042107998","-4095.9999999999995","4090.666666666666","C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\outputs\coverage_null_global_stats\0_1_lst017_quiet_frozen_polybeam_khz_comb_S30_multi.npz","9.10175923472585","9444.443085672718","1.7798436919007438e-05","140609741.2109375","False","False","False","False","False","False","False","False","False","0","2","2","2","0.0","0.0684687078802128","0.0","0.2805166207424566","6.108540873789748e-10"
