subset_label,baseline_id,baseline_class,lst_stratum,lst_bin_id,lst_start,lst_end,n_tle_records,n_sat_visible_center,n_sat_visible_any_bin,n_sat_visible_peak_bin,n_sat_peak_visible,beam_weighted_sat_exposure_center,beam_weighted_sat_exposure_bin_mean,max_sat_beam_response_center,max_sat_beam_response_bin
random1200_seed20260620,157_146,mid,stress,0,2461041.5,2461041.506822953,1200,0,1,1,1,0.0,0.00011853430155914446,0.0,0.00011853430155914446
random1200_seed20260620,159_76,mid,quiet,22,2461041.652777778,2461041.6596007315,1200,0,4,4,4,0.0,0.756809214087454,0.0,0.6777579732548015
random1200_seed20260620,159_76,mid,typical,44,2461041.8055555555,2461041.8123785085,1200,0,2,2,2,0.0,0.4018489649352711,0.0,0.36268207725030116
random1200_seed20260620,159_76,mid,stress,0,2461041.5,2461041.506822953,1200,0,1,1,1,0.0,0.00011853430155914446,0.0,0.00011853430155914446
random1200_seed20260620,23_80,long,quiet,48,2461041.833333333,2461041.8401562865,1200,0,2,2,2,0.0,0.22174083248491644,0.0,0.21299362217052406
random1200_seed20260620,23_80,long,typical,44,2461041.8055555555,2461041.8123785085,1200,0,2,2,2,0.0,0.4018489649352711,0.0,0.36268207725030116
random1200_seed20260620,23_80,long,stress,0,2461041.5,2461041.506822953,1200,0,1,1,1,0.0,0.00011853430155914446,0.0,0.00011853430155914446
random1200_seed20260620,4_196,long,quiet,48,2461041.833333333,2461041.8401562865,1200,0,2,2,2,0.0,0.22174083248491644,0.0,0.21299362217052406
random1200_seed20260620,4_196,long,typical,53,2461041.8680555555,2461041.8748785085,1200,1,4,4,4,0.7113343055922511,1.8762287905437698,0.7113343055922511,0.8138263678950879
random1200_seed20260620,4_196,long,stress,0,2461041.5,2461041.506822953,1200,0,1,1,1,0.0,0.00011853430155914446,0.0,0.00011853430155914446
random1200_seed20260620,4_76,mid,quiet,17,2461041.6180555555,2461041.624878509,1200,0,3,3,3,0.0,0.5679147083419731,0.0,0.5677388315497071
random1200_seed20260620,4_76,mid,typical,33,2461041.7291666665,2461041.73598962,1200,1,4,4,4,0.00015693006886354752,0.4930327308386528,0.00015693006886354752,0.4019454583816613
random1200_seed20260620,4_76,mid,stress,0,2461041.5,2461041.506822953,1200,0,1,1,1,0.0,0.00011853430155914446,0.0,0.00011853430155914446
random1200_seed20260620,82_0,mid,quiet,17,2461041.6180555555,2461041.624878509,1200,0,3,3,3,0.0,0.5679147083419731,0.0,0.5677388315497071
random1200_seed20260620,82_0,mid,typical,18,2461041.625,2461041.631822953,1200,0,2,2,2,0.0,0.04732581107551902,0.0,0.045051469475119364
random1200_seed20260620,82_0,mid,stress,64,2461041.9444444445,2461041.951267397,1200,0,1,1,1,0.0,6.231651529105718e-05,0.0,6.231651529105718e-05
random1200_seed20260621,0_1,short,quiet,17,2461041.6180555555,2461041.624878509,1200,0,4,4,4,0.0,0.7644473704267337,0.0,0.7597609470973767
random1200_seed20260621,0_1,short,typical,44,2461041.8055555555,2461041.8123785085,1200,0,2,2,2,0.0,0.0222569245789769,0.0,0.021857047287818152
random1200_seed20260621,0_1,short,stress,0,2461041.5,2461041.506822953,1200,0,4,4,4,0.0,0.1361234947101846,0.0,0.12463830640487615
random1200_seed20260621,0_197,mid,quiet,22,2461041.652777778,2461041.6596007315,1200,1,4,4,4,0.00015531439368896943,0.033535656236933116,0.00015531439368896943,0.06643216460316723
random1200_seed20260621,0_197,mid,typical,36,2461041.75,2461041.756822953,1200,0,2,2,2,0.0,0.571797546333628,0.0,0.5370194020561969
random1200_seed20260621,0_197,mid,stress,0,2461041.5,2461041.506822953,1200,0,4,4,4,0.0,0.1361234947101846,0.0,0.12463830640487615
random1200_seed20260621,11_10,mid,quiet,16,2461041.611111111,2461041.6179340645,1200,0,4,4,4,0.0,0.010393061065729067,0.0,0.015393954647016038
random1200_seed20260621,11_10,mid,typical,44,2461041.8055555555,2461041.8123785085,1200,0,2,2,2,0.0,0.0222569245789769,0.0,0.021857047287818152
random1200_seed20260621,11_10,mid,stress,64,2461041.9444444445,2461041.951267397,1200,0,4,4,4,0.0,0.1735522257896943,0.0,0.13488536419589378
random1200_seed20260621,157_146,mid,quiet,16,2461041.611111111,2461041.6179340645,1200,0,4,4,4,0.0,0.010393061065729067,0.0,0.015393954647016038
random1200_seed20260621,157_146,mid,typical,46,2461041.8194444445,2461041.826267397,1200,0,6,6,6,0.0,0.5591138845749716,0.0,0.3798752563688669
random1200_seed20260621,157_146,mid,stress,0,2461041.5,2461041.506822953,1200,0,4,4,4,0.0,0.1361234947101846,0.0,0.12463830640487615
random1200_seed20260621,159_76,mid,quiet,22,2461041.652777778,2461041.6596007315,1200,1,4,4,4,0.00015531439368896943,0.033535656236933116,0.00015531439368896943,0.06643216460316723
random1200_seed20260621,159_76,mid,typical,44,2461041.8055555555,2461041.8123785085,1200,0,2,2,2,0.0,0.0222569245789769,0.0,0.021857047287818152
random1200_seed20260621,159_76,mid,stress,0,2461041.5,2461041.506822953,1200,0,4,4,4,0.0,0.1361234947101846,0.0,0.12463830640487615
random1200_seed20260621,23_80,long,quiet,48,2461041.833333333,2461041.8401562865,1200,0,3,3,3,0.0,0.8665236454691176,0.0,0.859162077620023
random1200_seed20260621,23_80,long,typical,44,2461041.8055555555,2461041.8123785085,1200,0,2,2,2,0.0,0.0222569245789769,0.0,0.021857047287818152
random1200_seed20260621,23_80,long,stress,0,2461041.5,2461041.506822953,1200,0,4,4,4,0.0,0.1361234947101846,0.0,0.12463830640487615
random1200_seed20260621,4_196,long,quiet,48,2461041.833333333,2461041.8401562865,1200,0,3,3,3,0.0,0.8665236454691176,0.0,0.859162077620023
random1200_seed20260621,4_196,long,typical,53,2461041.8680555555,2461041.8748785085,1200,0,4,4,4,0.0,0.5863488118421136,0.0,0.5169155095152199
random1200_seed20260621,4_196,long,stress,0,2461041.5,2461041.506822953,1200,0,4,4,4,0.0,0.1361234947101846,0.0,0.12463830640487615
random1200_seed20260621,4_76,mid,quiet,17,2461041.6180555555,2461041.624878509,1200,0,4,4,4,0.0,0.7644473704267337,0.0,0.7597609470973767
random1200_seed20260621,4_76,mid,typical,33,2461041.7291666665,2461041.73598962,1200,1,5,5,5,0.00015693006886354752,1.0558903109989886,0.00015693006886354752,0.7237506951201093
random1200_seed20260621,4_76,mid,stress,0,2461041.5,2461041.506822953,1200,0,4,4,4,0.0,0.1361234947101846,0.0,0.12463830640487615
random1200_seed20260621,82_0,mid,quiet,17,2461041.6180555555,2461041.624878509,1200,0,4,4,4,0.0,0.7644473704267337,0.0,0.7597609470973767
random1200_seed20260621,82_0,mid,typical,18,2461041.625,2461041.631822953,1200,0,2,2,2,0.0,0.0004624559954146339,0.0,0.0004424215747586641
random1200_seed20260621,82_0,mid,stress,64,2461041.9444444445,2461041.951267397,1200,0,4,4,4,0.0,0.1735522257896943,0.0,0.13488536419589378
random1200_seed20260622,0_1,short,quiet,17,2461041.6180555555,2461041.624878509,1200,0,4,4,4,0.0,0.3043865087237865,0.0,0.16218365186419015
random1200_seed20260622,0_1,short,typical,44,2461041.8055555555,2461041.8123785085,1200,0,1,1,1,0.0,0.021857047287818152,0.0,0.021857047287818152
random1200_seed20260622,0_1,short,stress,0,2461041.5,2461041.506822953,1200,1,7,7,7,0.33087588566844983,0.7768853323359954,0.33087588566844983,0.7656232791366961
random1200_seed20260622,0_197,mid,quiet,22,2461041.652777778,2461041.6596007315,1200,0,4,4,4,0.0,0.12439588414554927,0.0,0.05987309384366863
random1200_seed20260622,0_197,mid,typical,36,2461041.75,2461041.756822953,1200,0,5,5,5,0.0,0.9496456128888258,0.0,0.5370194020561969
random1200_seed20260622,0_197,mid,stress,0,2461041.5,2461041.506822953,1200,1,7,7,7,0.33087588566844983,0.7768853323359954,0.33087588566844983,0.7656232791366961
random1200_seed20260622,11_10,mid,quiet,16,2461041.611111111,2461041.6179340645,1200,0,0,0,0,0.0,0.0,0.0,0.0
random1200_seed20260622,11_10,mid,typical,44,2461041.8055555555,2461041.8123785085,1200,0,1,1,1,0.0,0.021857047287818152,0.0,0.021857047287818152
random1200_seed20260622,11_10,mid,stress,64,2461041.9444444445,2461041.951267397,1200,0,5,5,5,0.0,0.9606228325547861,0.0,0.7317158724347791
random1200_seed20260622,157_146,mid,quiet,16,2461041.611111111,2461041.6179340645,1200,0,0,0,0,0.0,0.0,0.0,0.0
random1200_seed20260622,157_146,mid,typical,46,2461041.8194444445,2461041.826267397,1200,0,6,6,6,0.0,0.06026634947019104,0.0,0.05400881000827753
random1200_seed20260622,157_146,mid,stress,0,2461041.5,2461041.506822953,1200,1,7,7,7,0.33087588566844983,0.7768853323359954,0.33087588566844983,0.7656232791366961
random1200_seed20260622,159_76,mid,quiet,22,2461041.652777778,2461041.6596007315,1200,0,4,4,4,0.0,0.12439588414554927,0.0,0.05987309384366863
random1200_seed20260622,159_76,mid,typical,44,2461041.8055555555,2461041.8123785085,1200,0,1,1,1,0.0,0.021857047287818152,0.0,0.021857047287818152
