"morphology","injection_mode","bg_id","baseline_group","S_ref_jy","Z_PS_max","PTE_global_max","PTE_global_absint","relative_abs_bias","window_abs_bias_sum","window_bg_abs_sum","obs_max_bias","null_max_bias_p95"
"smooth","coherent_ab","bg_01_clean","long_207m","300.0","2.0256806270618717","0.0297029702970297","0.06930693069306931","1.096955539702775e-05","2.3877965085687833","217674.86667834935","0.15755588074898697","0.14845834141142403"
"literature_lofar_lines","coherent_ab","bg_01_clean","long_207m","30.0","2.1659785416610835","0.04950495049504951","0.0594059405940594","1.105598440089516e-06","0.24066099304627642","217674.86667834935","0.01603388584589993","0.015007368966234934"
"literature_lofar_lines","coherent_ab","bg_01_clean","long_207m","300.0","2.2126213264702095","0.019801980198019802","0.039603960396039604","1.1055907540133554e-05","2.4065931998067285","217674.86667834935","0.16034236037558003","0.1508667509049701"
"literature_lofar_khz_comb","coherent_ab","bg_01_clean","long_207m","30.0","2.256914491034555","0.0297029702970297","0.06930693069306931","1.0982744514999696e-06","0.23906674480649315","217674.86667834935","0.015998778825633053","0.014650543883590217"
