morphology,injection_mode,bg_id,baseline_group,baseline_length_m,S_ref_jy,qa_delta_null_db,qa_null_positive,qa_S_win_db,qa_null_p95_db,Z_PS_max,Z_PS_abs_integrated,PTE_global_max,PTE_global_absint,obs_max_bias,obs_abs_integrated,null_max_bias_p50,null_max_bias_p95,null_max_bias_p99,null_abs_integrated_p50,null_abs_integrated_p95,null_abs_integrated_p99,null_global_stats_path,Z_PS_bin_max,Z_PS_bin_p95,PS_gt_1,PS_gt_2,PS_gt_3,window_abs_bias_sum,window_signed_bias_sum,window_bg_abs_sum,relative_abs_bias,eta_tau,margin_to_window_ns,kperp,z_eff,X_mpc,Y_mpc_per_hz,nu_eff_hz
smooth,coherent_ab,bg_01_clean,short_14p6m,14.6,10.0,-0.2251130318894709,False,-46.17666856780219,-45.95155553591272,0.5363483252586564,-1.471313281530372,0.3069306930693069,0.8217821782178217,0.6405515619371727,9.637744193372699,0.5194339746039986,1.0208687463757997,1.1859441615457404,12.20650330191674,14.30533497556634,14.96961126347108,results\revision_bandpower_propagation_v3_pte\null_global_stats\smooth__coherent_ab__bg_01_clean__short_14p6m__S10.npz,1.163735515458318,0.7999405654190612,False,False,False,9.637744193372699,0.6751352153428467,408937.36914054013,2.356777570518502e-05,0.6928007428100562,114.96071377143578,0.00494381046924773,8.47264794423514,9280.92437317491,1.723133881133731e-05,149948120.1171875
smooth,a_only,bg_01_clean,short_14p6m,14.6,10.0,-0.2251130318894709,False,-46.17666856780219,-45.95155553591272,-0.7027677679429178,-0.01129418187951881,0.7821782178217822,0.5148514851485149,0.09820137817951036,2.739289053015172,0.12531534706249658,0.25489620211728836,0.304241372525521,2.751077954684134,3.6456839333797224,3.6967608955775173,results\revision_bandpower_propagation_v3_pte\null_global_stats\smooth__a_only__bg_01_clean__short_14p6m__S10.npz,1.8629973437448657,1.526105324647789,False,False,False,2.739289053015172,-0.10052322699748295,408937.36914054013,6.698554007847975e-06,0.6928007428100562,114.96071377143578,0.00494381046924773,8.47264794423514,9280.92437317491,1.723133881133731e-05,149948120.1171875
smooth,coherent_ab,bg_01_clean,short_14p6m,14.6,30.0,-0.2181192795683344,False,-41.40476851122544,-41.18664923165711,0.8733186694601305,-1.2022647500102996,0.2871287128712871,0.8712871287128713,1.9189433307237778,28.912307170942526,1.4884106783692914,2.753034555027079,3.2443055826271303,34.28352825285108,42.89325426148784,43.64557463708801,results\revision_bandpower_propagation_v3_pte\null_global_stats\smooth__coherent_ab__bg_01_clean__short_14p6m__S30.npz,1.3132293979485266,0.811840887890956,False,False,False,28.912307170942526,1.9828805777489151,408937.36914054013,7.070106415490287e-05,0.6928007428100562,114.96071377143578,0.00494381046924773,8.47264794423514,9280.92437317491,1.723133881133731e-05,149948120.1171875
smooth,a_only,bg_01_clean,short_14p6m,14.6,30.0,-0.2181192795683344,False,-41.40476851122544,-41.18664923165711,-0.7595135771423844,-0.36030677502162606,0.8217821782178217,0.5841584158415841,0.2946041345348931,8.217867159031746,0.4129194083072889,0.9096556742583742,0.9909899397596202,9.08780186209103,11.024708519407461,11.306283621201908,results\revision_bandpower_propagation_v3_pte\null_global_stats\smooth__a_only__bg_01_clean__short_14p6m__S30.npz,1.8896912458414308,1.5159897417974653,False,False,False,8.217867159031746,-0.3015696810192363,408937.36914054013,2.0095662023510254e-05,0.6928007428100562,114.96071377143578,0.00494381046924773,8.47264794423514,9280.92437317491,1.723133881133731e-05,149948120.1171875
smooth,coherent_ab,bg_01_clean,short_14p6m,14.6,100.0,-0.1985859008355674,False,-36.17267137805775,-35.97408547722218,1.04695208603419,-0.9991622072219065,0.2079207920792079,0.8217821782178217,6.364845293101098,96.36809303009181,4.732021895181333,9.987746547491406,11.143194396993989,115.93255474365563,142.99384174548422,148.3805068866647,results\revision_bandpower_propagation_v3_pte\null_global_stats\smooth__coherent_ab__bg_01_clean__short_14p6m__S100.npz,1.2252978823527039,0.9970587451115736,True,False,False,96.36809303009181,6.1134761291478785,408937.36914054013,0.00023565489559593866,0.6928007428100562,114.96071377143578,0.00494381046924773,8.47264794423514,9280.92437317491,1.723133881133731e-05,149948120.1171875
smooth,a_only,bg_01_clean,short_14p6m,14.6,100.0,-0.1985859008355674,False,-36.17267137805775,-35.97408547722218,-0.6619074171412197,-0.3289387184901476,0.7524752475247525,0.5742574257425742,0.9820137817823706,27.392890530089645,1.3144458755921278,3.1309795337252577,3.2483851437557867,30.14923104455081,36.15529939889394,36.78528171088902,results\revision_bandpower_propagation_v3_pte\null_global_stats\smooth__a_only__bg_01_clean__short_14p6m__S100.npz,1.8881194171653681,1.373685574665049,False,False,False,27.392890530089645,-1.0052322700716019,408937.36914054013,6.698554007832795e-05,0.6928007428100562,114.96071377143578,0.00494381046924773,8.47264794423514,9280.92437317491,1.723133881133731e-05,149948120.1171875
smooth,coherent_ab,bg_01_clean,short_14p6m,14.6,300.0,-0.2092683576624807,False,-31.383051483410178,-31.173783125747697,0.8787776369123567,-0.8174607726470213,0.18811881188118812,0.8217821782178217,18.823400370885793,289.0577132653125,15.754076250130538,29.72087382924401,37.010878819223436,336.253499916452,431.20139570443337,437.9673769297986,results\revision_bandpower_propagation_v3_pte\null_global_stats\smooth__coherent_ab__bg_01_clean__short_14p6m__S300.npz,1.7395093914072661,1.184413727557356,False,False,False,289.0577132653125,14.087921559027723,408937.36914054013,0.0007068508164778934,0.6928007428100562,114.96071377143578,0.00494381046924773,8.47264794423514,9280.92437317491,1.723133881133731e-05,149948120.1171875
smooth,a_only,bg_01_clean,short_14p6m,14.6,300.0,-0.2092683576624807,False,-31.383051483410178,-31.173783125747697,-0.632501266075934,-0.49923566190987945,0.7227722772277227,0.6336633663366337,2.9460413453443834,82.17867159025654,3.6873795485889787,8.42485133667651,10.25707608675355,92.85391666968617,110.20676467049796,111.98050510629255,results\revision_bandpower_propagation_v3_pte\null_global_stats\smooth__a_only__bg_01_clean__short_14p6m__S300.npz,1.5274267526284901,1.1450962093639798,False,False,False,82.17867159025654,-3.015696810246668,408937.36914054013,0.00020095662023495356,0.6928007428100562,114.96071377143578,0.00494381046924773,8.47264794423514,9280.92437317491,1.723133881133731e-05,149948120.1171875
smooth,coherent_ab,bg_01_clean,short_14p6m,14.6,1000.0,-0.1957264596493289,False,-25.9821310928193,-25.786404633169973,0.808564030283788,-1.0787363785486987,0.297029702970297,0.8415841584158416,59.58142030477029,963.2104208858357,46.10200023357902,98.21602282111188,116.55253807118747,1124.6470196501045,1366.1090142090816,1440.0644847026174,results\revision_bandpower_propagation_v3_pte\null_global_stats\smooth__coherent_ab__bg_01_clean__short_14p6m__S1000.npz,1.073712431136145,0.8235506121740749,False,False,False,963.2104208858357,-2.652841134676166,408937.36914054013,0.0023553983900033546,0.6928007428100562,114.96071377143578,0.00494381046924773,8.47264794423514,9280.92437317491,1.723133881133731e-05,149948120.1171875
smooth,a_only,bg_01_clean,short_14p6m,14.6,1000.0,-0.1957264596493289,False,-25.9821310928193,-25.786404633169973,-0.5468880324526129,0.07107982552960748,0.7227722772277227,0.43564356435643564,9.820137817814611,273.9289053008441,12.304615726436396,25.11080011025078,30.755872327167374,265.8082553137052,363.75398298084195,375.6400504410464,results\revision_bandpower_propagation_v3_pte\null_global_stats\smooth__a_only__bg_01_clean__short_14p6m__S1000.npz,1.9748796929903512,1.5600018994430702,False,False,False,273.9289053008441,-10.052322700845359,408937.36914054013,0.0006698554007831516,0.6928007428100562,114.96071377143578,0.00494381046924773,8.47264794423514,9280.92437317491,1.723133881133731e-05,149948120.1171875
