morphology,injection_mode,bg_id,baseline_group,S_ref_jy,tau_ns,kpar,kperp,bias,null_median_bias,Z_PS
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-1359.0989345509895,-0.4955778857389588,0.00494381046924773,-0.09099298414366785,-0.0223573696675885,-0.5881138159717159
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-1346.6301369863015,-0.4910312996312618,0.00494381046924773,-0.057966326119640144,0.03510358310813899,-0.5364935303079814
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-1334.1613394216135,-0.486484713523565,0.00494381046924773,0.05285818809443299,0.0013757310002802114,0.2950913477442695
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-1321.6925418569256,-0.4819381274158681,0.00494381046924773,0.09944295957257054,-0.002426540067745009,0.7616264237237853
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-1309.2237442922374,-0.4773915413081712,0.00494381046924773,0.07158790111338931,0.009029215306668448,0.6103739742212637
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-1296.7549467275494,-0.47284495520047437,0.00494381046924773,0.04123504692097413,-0.014305445657669225,0.7140603533622989
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-1284.2861491628616,-0.4682983690927775,0.00494381046924773,-0.02391562114542012,0.004235307279088829,-0.4828875723488161
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-1271.8173515981737,-0.4637517829850807,0.00494381046924773,-0.0549974906849684,0.001284866798641815,-0.8503773924503631
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-1259.3485540334857,-0.4592051968773838,0.00494381046924773,-0.0642650508348197,-0.002366419459121971,-0.6946043160897736
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-1246.8797564687977,-0.4546586107696869,0.00494381046924773,-0.010908552118053194,0.010513042619322732,-0.26778347621644405
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-1234.4109589041095,-0.45011202466199,0.00494381046924773,0.025352833026772714,-0.004816133645135778,0.5119992503451029
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-1221.9421613394215,-0.4455654385542931,0.00494381046924773,0.03167744695019792,0.002705815754325158,0.30332733980796905
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-1209.4733637747336,-0.4410188524465963,0.00494381046924773,0.13825104205352545,0.005635192483168794,0.7835374668283105
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-1197.0045662100458,-0.4364722663388994,0.00494381046924773,0.10778936769202119,-0.01651828236936126,0.6463072266830785
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-1184.5357686453578,-0.4319256802312026,0.00494381046924773,-0.018403431378828827,-0.009869975747278659,-0.05496421496666444
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-1172.0669710806699,-0.4273790941235057,0.00494381046924773,-0.09083674766498007,0.006638364718128287,-0.8758918169780517
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-1159.598173515982,-0.42283250801580885,0.00494381046924773,-0.07490938140290382,-0.005350818098577292,-0.6540175700105979
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-1147.1293759512937,-0.4182859219081119,0.00494381046924773,-0.006190220064809182,0.005295271981822225,-0.2561713605613925
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-1134.6605783866057,-0.41373933580041505,0.00494381046924773,0.009239970210472848,0.001024606039393916,0.9723199583801935
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-1122.1917808219177,-0.4091927496927182,0.00494381046924773,0.0010216045809556817,0.0024522566658333744,-0.11916391660448297
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-1109.72298325723,-0.40464616358502137,0.00494381046924773,0.010733268023159326,-0.00036581748923936175,0.4998858319663983
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-1097.254185692542,-0.40009957747732444,0.00494381046924773,0.004501496786701864,-0.0014537199218693786,0.5405334302025269
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-1084.785388127854,-0.3955529913696276,0.00494381046924773,0.0005999446560736033,-0.0018225927427693023,0.2089651335323998
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-1072.3165905631658,-0.3910064052619307,0.00494381046924773,-0.004004070797236636,-0.002630835315130753,-0.06995667622849752
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-1059.8477929984779,-0.38645981915423383,0.00494381046924773,-0.01026905356025054,0.0012066886518482534,-0.47556432320721775
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-1047.37899543379,-0.381913233046537,0.00494381046924773,-0.045142579407865924,-0.005789040443801241,-0.6145168670969668
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-1034.9101978691021,-0.37736664693884014,0.00494381046924773,-0.05877697474488741,0.0130036547166128,-0.56508816625706
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-1022.4414003044141,-0.3728200608311433,0.00494381046924773,0.022476905644452927,0.009821253471727687,0.11911685566441162
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-1009.9726027397262,-0.3682734747234464,0.00494381046924773,0.08064990351795132,-0.005321594182532863,0.8382628196944255
