id,path,ant_pair,bl_len_m,Nt,Nf,flag_frac,jd_start,label,window_id,native_baseline_id
bg_02_moderate__native_0_1,/mnt/c/Users/kimeu/Downloads/starlink_pathB_wsl_package_v0_3_clean/starlink_pathB/examples/backgrounds_jan2026_native4bg/bg_02_moderate__native_0_1.npz,"(0,1)",14.61,60,219,0.088,2461041.667467,"clean, different LST seg (flag=8.8%), LST seg B; native bl (0,1)",bg_02_moderate,native_0_1
bg_02_moderate__native_0_197,/mnt/c/Users/kimeu/Downloads/starlink_pathB_wsl_package_v0_3_clean/starlink_pathB/examples/backgrounds_jan2026_native4bg/bg_02_moderate__native_0_197.npz,"(0,197)",160.25,60,219,0.088,2461041.667467,"clean, different LST seg (flag=8.8%), LST seg B; native bl (0,197)",bg_02_moderate,native_0_197
bg_02_moderate__native_11_10,/mnt/c/Users/kimeu/Downloads/starlink_pathB_wsl_package_v0_3_clean/starlink_pathB/examples/backgrounds_jan2026_native4bg/bg_02_moderate__native_11_10.npz,"(11,10)",153.9,60,219,0.088,2461041.667467,"clean, different LST seg (flag=8.8%), LST seg B; native bl (11,10)",bg_02_moderate,native_11_10
bg_02_moderate__native_157_146,/mnt/c/Users/kimeu/Downloads/starlink_pathB_wsl_package_v0_3_clean/starlink_pathB/examples/backgrounds_jan2026_native4bg/bg_02_moderate__native_157_146.npz,"(157,146)",140.37,60,219,0.088,2461041.667467,"clean, different LST seg (flag=8.8%), LST seg B; native bl (157,146)",bg_02_moderate,native_157_146
bg_02_moderate__native_159_76,/mnt/c/Users/kimeu/Downloads/starlink_pathB_wsl_package_v0_3_clean/starlink_pathB/examples/backgrounds_jan2026_native4bg/bg_02_moderate__native_159_76.npz,"(159,76)",156.2,60,219,0.088,2461041.667467,"clean, different LST seg (flag=8.8%), LST seg B; native bl (159,76)",bg_02_moderate,native_159_76
bg_02_moderate__native_23_80,/mnt/c/Users/kimeu/Downloads/starlink_pathB_wsl_package_v0_3_clean/starlink_pathB/examples/backgrounds_jan2026_native4bg/bg_02_moderate__native_23_80.npz,"(23,80)",207.28,60,219,0.089,2461041.667467,"clean, different LST seg (flag=8.8%), LST seg B; native bl (23,80)",bg_02_moderate,native_23_80
bg_02_moderate__native_4_196,/mnt/c/Users/kimeu/Downloads/starlink_pathB_wsl_package_v0_3_clean/starlink_pathB/examples/backgrounds_jan2026_native4bg/bg_02_moderate__native_4_196.npz,"(4,196)",190.66,60,219,0.087,2461041.667467,"clean, different LST seg (flag=8.8%), LST seg B; native bl (4,196)",bg_02_moderate,native_4_196
bg_02_moderate__native_4_76,/mnt/c/Users/kimeu/Downloads/starlink_pathB_wsl_package_v0_3_clean/starlink_pathB/examples/backgrounds_jan2026_native4bg/bg_02_moderate__native_4_76.npz,"(4,76)",93.92,60,219,0.088,2461041.667467,"clean, different LST seg (flag=8.8%), LST seg B; native bl (4,76)",bg_02_moderate,native_4_76
bg_02_moderate__native_82_0,/mnt/c/Users/kimeu/Downloads/starlink_pathB_wsl_package_v0_3_clean/starlink_pathB/examples/backgrounds_jan2026_native4bg/bg_02_moderate__native_82_0.npz,"(82,0)",81.33,60,219,0.088,2461041.667467,"clean, different LST seg (flag=8.8%), LST seg B; native bl (82,0)",bg_02_moderate,native_82_0
