id,path,ant_pair,bl_len_m,Nt,Nf,flag_frac,jd_start,label,window_id,native_baseline_id
bg_04_proc_div__native_23_80,/mnt/c/Users/kimeu/Downloads/starlink_pathB_wsl_package_v0_3_clean/starlink_pathB/examples/backgrounds_jan2026_native4bg/bg_04_proc_div__native_23_80.npz,"(23,80)",207.28,60,219,0.129,2461041.500801,"early obs window (flag=12.3%), LST seg A-; native bl (23,80)",bg_04_proc_div,native_23_80
bg_05_lst_div__native_23_80,/mnt/c/Users/kimeu/Downloads/starlink_pathB_wsl_package_v0_3_clean/starlink_pathB/examples/backgrounds_jan2026_native4bg/bg_05_lst_div__native_23_80.npz,"(23,80)",207.28,60,219,0.093,2461041.834134,"late-middle obs (flag=9.2%), LST seg C; native bl (23,80)",bg_05_lst_div,native_23_80
bg_01_clean__native_4_196,/mnt/c/Users/kimeu/Downloads/starlink_pathB_wsl_package_v0_3_clean/starlink_pathB/examples/backgrounds_jan2026_native4bg/bg_01_clean__native_4_196.npz,"(4,196)",190.66,60,219,0.089,2461041.584134,"clean/low-flag (flag=8.9%), LST seg A; native bl (4,196)",bg_01_clean,native_4_196
bg_03_heavy__native_4_196,/mnt/c/Users/kimeu/Downloads/starlink_pathB_wsl_package_v0_3_clean/starlink_pathB/examples/backgrounds_jan2026_native4bg/bg_03_heavy__native_4_196.npz,"(4,196)",190.66,60,219,0.195,2461041.750801,"heavily flagged end-of-obs (flag=14.7%), LST seg D; native bl (4,196)",bg_03_heavy,native_4_196
bg_04_proc_div__native_4_196,/mnt/c/Users/kimeu/Downloads/starlink_pathB_wsl_package_v0_3_clean/starlink_pathB/examples/backgrounds_jan2026_native4bg/bg_04_proc_div__native_4_196.npz,"(4,196)",190.66,60,219,0.186,2461041.500801,"early obs window (flag=12.3%), LST seg A-; native bl (4,196)",bg_04_proc_div,native_4_196
bg_05_lst_div__native_4_196,/mnt/c/Users/kimeu/Downloads/starlink_pathB_wsl_package_v0_3_clean/starlink_pathB/examples/backgrounds_jan2026_native4bg/bg_05_lst_div__native_4_196.npz,"(4,196)",190.66,60,219,0.09,2461041.834134,"late-middle obs (flag=9.2%), LST seg C; native bl (4,196)",bg_05_lst_div,native_4_196
bg_01_clean__native_4_76,/mnt/c/Users/kimeu/Downloads/starlink_pathB_wsl_package_v0_3_clean/starlink_pathB/examples/backgrounds_jan2026_native4bg/bg_01_clean__native_4_76.npz,"(4,76)",93.92,60,219,0.089,2461041.584134,"clean/low-flag (flag=8.9%), LST seg A; native bl (4,76)",bg_01_clean,native_4_76
bg_03_heavy__native_4_76,/mnt/c/Users/kimeu/Downloads/starlink_pathB_wsl_package_v0_3_clean/starlink_pathB/examples/backgrounds_jan2026_native4bg/bg_03_heavy__native_4_76.npz,"(4,76)",93.92,60,219,0.147,2461041.750801,"heavily flagged end-of-obs (flag=14.7%), LST seg D; native bl (4,76)",bg_03_heavy,native_4_76
bg_04_proc_div__native_4_76,/mnt/c/Users/kimeu/Downloads/starlink_pathB_wsl_package_v0_3_clean/starlink_pathB/examples/backgrounds_jan2026_native4bg/bg_04_proc_div__native_4_76.npz,"(4,76)",93.92,60,219,0.123,2461041.500801,"early obs window (flag=12.3%), LST seg A-; native bl (4,76)",bg_04_proc_div,native_4_76
bg_05_lst_div__native_4_76,/mnt/c/Users/kimeu/Downloads/starlink_pathB_wsl_package_v0_3_clean/starlink_pathB/examples/backgrounds_jan2026_native4bg/bg_05_lst_div__native_4_76.npz,"(4,76)",93.92,60,219,0.092,2461041.834134,"late-middle obs (flag=9.2%), LST seg C; native bl (4,76)",bg_05_lst_div,native_4_76
bg_01_clean__native_82_0,/mnt/c/Users/kimeu/Downloads/starlink_pathB_wsl_package_v0_3_clean/starlink_pathB/examples/backgrounds_jan2026_native4bg/bg_01_clean__native_82_0.npz,"(82,0)",81.33,60,219,0.089,2461041.584134,"clean/low-flag (flag=8.9%), LST seg A; native bl (82,0)",bg_01_clean,native_82_0
bg_03_heavy__native_82_0,/mnt/c/Users/kimeu/Downloads/starlink_pathB_wsl_package_v0_3_clean/starlink_pathB/examples/backgrounds_jan2026_native4bg/bg_03_heavy__native_82_0.npz,"(82,0)",81.33,60,219,0.147,2461041.750801,"heavily flagged end-of-obs (flag=14.7%), LST seg D; native bl (82,0)",bg_03_heavy,native_82_0
bg_04_proc_div__native_82_0,/mnt/c/Users/kimeu/Downloads/starlink_pathB_wsl_package_v0_3_clean/starlink_pathB/examples/backgrounds_jan2026_native4bg/bg_04_proc_div__native_82_0.npz,"(82,0)",81.33,60,219,0.123,2461041.500801,"early obs window (flag=12.3%), LST seg A-; native bl (82,0)",bg_04_proc_div,native_82_0
bg_05_lst_div__native_82_0,/mnt/c/Users/kimeu/Downloads/starlink_pathB_wsl_package_v0_3_clean/starlink_pathB/examples/backgrounds_jan2026_native4bg/bg_05_lst_div__native_82_0.npz,"(82,0)",81.33,60,219,0.092,2461041.834134,"late-middle obs (flag=9.2%), LST seg C; native bl (82,0)",bg_05_lst_div,native_82_0
