case_id,old_row_index,baseline_id,baseline_length_m,lst_stratum,lst_bin_id,beam_model,morphology,flux_jy,multiplicity,N_null,Z_PS_max_old,Z_PS_max_new,PTE_global_max_old,PTE_global_max_new,PTE_global_absint_old,PTE_global_absint_new,relative_abs_bias,window_abs_bias_sum,window_bg_abs_sum,null_mad_win,n_null_exceed_max,n_null_exceed_absint,selection_mode,n_seed_cases_before_pair_expansion,intrinsic_phase_mode,intrinsic_phase_seed,intrinsic_phases_rad,retained_PTE001,retained_PTE005,retained_absint_001,retained_absint_003,retained_physical_floor_1e3,retained_physical_floor_1e2,retained_absint_floor_1e3,retained_absint_floor_1e2
0_1_lst044_typical_frozen_polybeam_lines_S1000_single,12,0_1,14.60794900739243,typical,44,frozen_polybeam,lines,1000.0,single,1000,1.1461344017059114,1.1260288731630534,0.0198019801980198,0.001998001998001998,0.4257425742574257,0.4875124875124875,0.031259788533032004,1974601.309750799,63167455.77674818,38557.56034022001,1,487,local,60,none,,0.00000000,True,True,False,False,True,True,False,False
0_1_lst044_typical_frozen_polybeam_lines_S1000_multi,13,0_1,14.60794900739243,typical,44,frozen_polybeam,lines,1000.0,multi,1000,3.3666035989684757,2.9063184435349587,0.0198019801980198,0.03596403596403597,0.0495049504950495,0.06893106893106893,0.09784814826125109,6180818.578129278,63167455.77674818,58079.03229914748,35,68,local,60,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,True,False,False,False,False,False,False
0_1_lst044_typical_frozen_polybeam_khz_comb_S30_single,14,0_1,14.60794900739243,typical,44,frozen_polybeam,khz_comb,30.0,single,1000,1.2659825657023984,1.1755873431540191,0.0099009900990099,0.000999000999000999,0.1188118811881188,0.1038961038961039,0.00088513980699425,55912.02961454871,63167455.77674818,866.442760175385,0,103,local,60,none,,0.00000000,True,True,False,False,False,False,False,False
0_1_lst044_typical_frozen_polybeam_khz_comb_S30_multi,15,0_1,14.60794900739243,typical,44,frozen_polybeam,khz_comb,30.0,multi,1000,2.7119692448251618,2.94447667058234,0.0594059405940594,0.03996003996003996,0.1386138613861386,0.15284715284715283,0.002196273091592147,138732.98338680895,63167455.77674818,1336.0499326895224,39,152,local,60,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,True,False,False,False,False,False,False
0_1_lst044_typical_frozen_polybeam_khz_comb_S300_single,16,0_1,14.60794900739243,typical,44,frozen_polybeam,khz_comb,300.0,single,1000,2.4568128572535195,1.3481843493943997,0.0099009900990099,0.002997002997002997,0.3168316831683168,0.3106893106893107,0.008889654210594506,561536.8392183117,63167455.77674818,8364.034494182211,2,310,local,60,none,,0.00000000,True,True,False,False,True,False,False,False
0_1_lst044_typical_frozen_polybeam_khz_comb_S300_multi,17,0_1,14.60794900739243,typical,44,frozen_polybeam,khz_comb,300.0,multi,1000,2.6088621323118955,2.8381037710512538,0.0396039603960396,0.03596403596403597,0.1089108910891089,0.14385614385614387,0.022474926162481975,1419683.9044542608,63167455.77674818,14228.235840482637,35,143,local,60,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,True,False,False,False,False,False,False
0_1_lst044_typical_frozen_polybeam_khz_comb_S1000_single,18,0_1,14.60794900739243,typical,44,frozen_polybeam,khz_comb,1000.0,single,1000,1.4521371467888935,1.2123497130684557,0.0099009900990099,0.001998001998001998,0.504950495049505,0.5004995004995005,0.03034927943642746,1917086.7666567045,63167455.77674818,33202.591164770594,1,500,local,60,none,,0.00000000,True,True,False,False,True,True,False,False
0_1_lst044_typical_frozen_polybeam_khz_comb_S1000_multi,19,0_1,14.60794900739243,typical,44,frozen_polybeam,khz_comb,1000.0,multi,1000,3.193440476049021,3.058087568636069,0.0198019801980198,0.04195804195804196,0.0891089108910891,0.12987012987012986,0.0858786494189606,5424735.789339054,63167455.77674818,49976.38004788628,41,129,local,60,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,True,False,False,False,False,False,False
0_1_lst044_typical_full_polybeam_smooth_S10_multi,20,0_1,14.60794900739243,typical,44,full_polybeam,smooth,10.0,multi,1000,3.4040571380869733,3.5524381972765755,0.0495049504950495,0.023976023976023976,0.099009900990099,0.08491508491508491,0.001156376147405805,73045.33915254263,63167455.77674818,553.0936852555024,23,84,local,60,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,True,False,False,False,False,False,False
0_1_lst044_typical_full_polybeam_smooth_S30_single,21,0_1,14.60794900739243,typical,44,full_polybeam,smooth,30.0,single,1000,1.0998189803378018,1.2302144268508297,0.0099009900990099,0.006993006993006993,0.3465346534653465,0.36863136863136864,0.0011538373497435779,72884.96976348778,63167455.77674818,1185.7100675893307,6,368,local,60,none,,0.00000000,True,True,False,False,True,False,False,False
