case,baseline_id,lst_stratum,lst_bin_id,TLE_set,beam,paired_beam,morphology,flux_jy,multiplicity,PTE_max_1000,B_rel,PTE_absint_1000,paired_PTE_max_1000,paired_B_rel,paired_PTE_absint_1000,final_class,primary_seed,paired_seed,primary_coarse_PTE_max,primary_coarse_PTE_absint,paired_coarse_PTE_max,paired_coarse_PTE_absint,primary_selected_norad_ids,paired_selected_norad_ids
1,157_146,typical,46,all_available,frozen_polybeam,full_polybeam,khz_comb,1000.0,multi,0.011988011988011988,0.7552749153021572,0.012987012987012988,0.3906093906093906,1.1222496716981112,0.004995004995004995,local-only QA candidate,20269202,20269610,0.0099009900990099,0.0396039603960396,0.4158415841584158,0.0099009900990099,54917;54917;53220;53220;52302;55196;55196;57175;48310;54358;54358;44436,54917;54917;53220;53220;52302;55196;55196;57175;48310;54358;54358;44436
2,0_1,typical,44,all_available,full_polybeam,frozen_polybeam,lines,300.0,single,0.005994005994005994,0.011585297390815619,0.3876123876123876,0.003996003996003996,0.009120961213744078,0.4255744255744256,window-integrated candidate,20262077,20261669,0.0099009900990099,0.396039603960396,0.0099009900990099,0.3663366336633663,57722,57722
3,0_1,typical,44,all_available,full_polybeam,frozen_polybeam,khz_comb,300.0,single,0.001998001998001998,0.010183093957973822,0.47152847152847155,0.002997002997002997,0.008889654210594506,0.3106893106893107,window-integrated candidate,20262213,20261805,0.0099009900990099,0.4059405940594059,0.0099009900990099,0.3168316831683168,57722,57722
4,0_1,typical,44,all_available,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,0.001998001998001998,0.03034927943642746,0.5004995004995005,0.004995004995004995,0.034877657347827204,0.5424575424575424,window-integrated candidate,20261839,20262247,0.0099009900990099,0.504950495049505,0.0099009900990099,0.504950495049505,57722,57722
5,0_1,typical,44,all_available,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,0.004995004995004995,0.034877657347827204,0.5424575424575424,0.001998001998001998,0.03034927943642746,0.5004995004995005,window-integrated candidate,20262247,20261839,0.0099009900990099,0.504950495049505,0.0099009900990099,0.504950495049505,57722,57722
6,0_1,typical,44,all_available,frozen_polybeam,full_polybeam,smooth,1000.0,single,0.003996003996003996,0.0312617424200368,0.4925074925074925,0.003996003996003996,0.039815944148688984,0.5354645354645354,window-integrated candidate,20261567,20261975,0.0099009900990099,0.5148514851485149,0.0099009900990099,0.6435643564356436,57722,57722
7,0_1,typical,44,all_available,full_polybeam,frozen_polybeam,smooth,1000.0,single,0.003996003996003996,0.039815944148688984,0.5354645354645354,0.003996003996003996,0.0312617424200368,0.4925074925074925,window-integrated candidate,20261975,20261567,0.0099009900990099,0.6435643564356436,0.0099009900990099,0.5148514851485149,57722,57722
