case_id,old_row_index,baseline_id,baseline_length_m,lst_stratum,lst_bin_id,beam_model,morphology,flux_jy,multiplicity,N_null,Z_PS_max_old,Z_PS_max_new,PTE_global_max_old,PTE_global_max_new,PTE_global_absint_old,PTE_global_absint_new,relative_abs_bias,window_abs_bias_sum,window_bg_abs_sum,null_mad_win,n_null_exceed_max,n_null_exceed_absint,selection_mode,n_seed_cases_before_pair_expansion,intrinsic_phase_mode,intrinsic_phase_seed,intrinsic_phases_rad,retained_PTE001,retained_PTE005,retained_absint_001,retained_absint_003,retained_physical_floor_1e3,retained_physical_floor_1e2,retained_absint_floor_1e3,retained_absint_floor_1e2
11_10_lst016_quiet_frozen_polybeam_smooth_S1000_single,0,11_10,153.90399534464717,quiet,16,frozen_polybeam,smooth,1000.0,single,1000,-0.184046597273386,0.10990831851667283,0.6237623762376238,0.45554445554445555,0.2574257425742574,0.16483516483516483,0.0008877958244136449,3232.2246108872346,3640729.683564343,1.8360291390073087,455,164,absint,7,none,,0.00000000,False,False,False,False,False,False,False,False
11_10_lst016_quiet_frozen_polybeam_smooth_S1000_multi,1,11_10,153.90399534464717,quiet,16,frozen_polybeam,smooth,1000.0,multi,1000,-0.512267436083411,-0.6122262746770432,0.7029702970297029,0.7342657342657343,0.0099009900990099,0.005994005994005994,0.0012953278338462039,4715.938494630976,3640729.683564343,2.984308868702101,734,5,absint,7,none,,0.00000000;0.00000000,False,False,True,True,False,False,True,False
11_10_lst016_quiet_frozen_polybeam_lines_S1000_multi,2,11_10,153.90399534464717,quiet,16,frozen_polybeam,lines,1000.0,multi,1000,-0.5128524553946946,-0.6923086228599479,0.7524752475247525,0.7712287712287712,0.0198019801980198,0.007992007992007992,0.0012954022262241655,4716.209337169651,3640729.683564343,2.8673742145074357,771,7,absint,7,none,,0.00000000;0.00000000,False,False,True,True,False,False,True,False
11_10_lst016_quiet_frozen_polybeam_khz_comb_S1000_multi,3,11_10,153.90399534464717,quiet,16,frozen_polybeam,khz_comb,1000.0,multi,1000,-0.6890217922308084,-0.6352516204263295,0.7920792079207921,0.7622377622377622,0.0099009900990099,0.007992007992007992,0.0011537141679365697,4200.361417555407,3640729.683564343,2.4154580258903025,762,7,absint,7,none,,0.00000000;0.00000000,False,False,True,True,False,False,True,False
11_10_lst016_quiet_full_polybeam_smooth_S1000_single,4,11_10,153.90399534464717,quiet,16,full_polybeam,smooth,1000.0,single,1000,-1.322952153647392,-1.3317811497822576,0.8613861386138614,0.8761238761238761,0.0198019801980198,0.026973026973026972,0.0030166886165642346,10982.947792396062,3640729.683564343,3.661555257628038,876,26,absint,7,none,,0.00000000,False,False,False,True,False,False,False,False
11_10_lst016_quiet_full_polybeam_smooth_S1000_multi,5,11_10,153.90399534464717,quiet,16,full_polybeam,smooth,1000.0,multi,1000,-0.9266788586459604,-0.7606952468444032,0.8811881188118812,0.8011988011988012,0.0297029702970297,0.03896103896103896,0.003153582211464166,11481.340366838074,3640729.683564343,3.9223335665927834,801,38,absint,7,none,,0.00000000;0.00000000,False,False,False,False,False,False,False,False
11_10_lst016_quiet_full_polybeam_lines_S1000_multi,6,11_10,153.90399534464717,quiet,16,full_polybeam,lines,1000.0,multi,1000,-0.6922114499540196,-0.7568419084416814,0.801980198019802,0.8121878121878122,0.0396039603960396,0.029970029970029972,0.0031543027309756436,11483.963583611097,3640729.683564343,3.864863401315688,812,29,absint,7,none,,0.00000000;0.00000000,False,False,False,True,False,False,False,False
11_10_lst016_quiet_full_polybeam_khz_comb_S1000_multi,7,11_10,153.90399534464717,quiet,16,full_polybeam,khz_comb,1000.0,multi,1000,-0.3114578368971122,-0.34308365314380723,0.6138613861386139,0.6553446553446554,0.0198019801980198,0.030969030969030968,0.0026232095400866556,9550.396838802655,3640729.683564343,3.338693178963922,655,30,absint,7,none,,0.00000000;0.00000000,False,False,False,False,False,False,False,False
4_196_lst053_typical_frozen_polybeam_lines_S1000_multi,8,4_196,190.65540049004915,typical,53,frozen_polybeam,lines,1000.0,multi,1000,0.7663783463799917,0.6629923398576989,0.3366336633663366,0.26973026973026976,0.0297029702970297,0.03996003996003996,0.0087511532163202,35717.898376690406,4081507.6017729165,14.65413826552549,269,39,absint,7,none,,0.00000000;0.00000000;0.00000000,False,False,False,False,False,False,False,False
4_196_lst053_typical_full_polybeam_lines_S1000_multi,9,4_196,190.65540049004915,typical,53,full_polybeam,lines,1000.0,multi,1000,0.0907694556660693,0.15223821374592617,0.4653465346534653,0.4275724275724276,0.2574257425742574,0.25574425574425574,0.010085156387150055,41162.64245922163,4081507.6017729165,19.069657547710904,427,255,absint,7,none,,0.00000000;0.00000000;0.00000000,False,False,False,False,False,False,False,False
