metric,value
selection_mode,absint
n_seed_cases_before_pair_expansion,126
n_refined_cases,184
n_refined_PTE_lt_001,4
n_refined_physical_floor_1e3,3
n_refined_physical_floor_1e2,1
n_refined_beam_robust,0
n_full_polybeam_strict,0
n_frozen_only_strict,3
n_refined_absint_lt_001,62
n_refined_absint_floor_1e3,61
n_refined_absint_floor_1e2,40
n_refined_absint_beam_robust,22
n_full_polybeam_absint_strict,27
n_frozen_only_absint_strict,23
