baseline_id,baseline_class,lst_stratum,lst_bin_id,rows,max_Z_PS_max,median_Z_PS_max,min_PTE_global_max,max_relative_abs_bias,n_Zgt3,n_candidate_statistical,n_exploratory
0_1,short,quiet,17,24,1.1301812180818889,0.3746671526483807,0.0594059405940594,0.0011639260820762,0,0,0
0_1,short,stress,0,24,1.171776877919648,-0.24294888494386518,0.1782178217821782,0.0597280066515306,0,0,0
0_1,short,typical,44,24,4.548974317878928,2.2586212228741065,0.0099009900990099,0.1872726294307271,8,8,21
0_197,mid,quiet,22,24,1.009052685613897,0.219337205342231,0.1386138613861386,0.0684527343197885,0,0,0
0_197,mid,stress,0,24,1.8162306764368763,0.24829590581441535,0.0594059405940594,0.0311303820666177,0,0,0
0_197,mid,typical,36,24,0.3526922574235475,-0.4661633524424237,0.3366336633663366,0.0423362943944135,0,0,0
11_10,mid,quiet,16,24,1.2468314745757725,0.31816022509142683,0.0495049504950495,0.0198443671997315,0,0,1
11_10,mid,stress,64,24,,,1.0,0.0,0,0,0
11_10,mid,typical,44,24,3.1399520428196617,1.2226970615653552,0.0396039603960396,0.3120495613213603,1,0,2
157_146,mid,quiet,16,24,1.754424434541528,0.8545365068069428,0.0198019801980198,0.0072695454937275,0,0,9
157_146,mid,stress,0,24,1.3655240410593594,0.31441101448095843,0.1881188118811881,0.0203322421917372,0,0,0
157_146,mid,typical,46,24,3.4115286756231598,-0.3903035513147505,0.0198019801980198,1.4806477755775278,1,0,6
159_76,mid,quiet,22,24,1.0980057894613078,0.09646181670803985,0.1782178217821782,0.0392137279745278,0,0,0
159_76,mid,stress,0,24,1.5833989139997466,-0.623280965731938,0.0099009900990099,0.0817305180512721,0,1,3
159_76,mid,typical,44,24,2.3758884255863304,0.8834264500333313,0.0099009900990099,0.0591636071490964,0,1,4
23_80,long,quiet,48,24,1.4731363380377287,-0.2280971461109217,0.1485148514851485,0.0307126968902105,0,0,0
23_80,long,stress,0,24,1.9196870072657184,1.0001519866660913,0.0099009900990099,0.0346865550374558,0,2,8
23_80,long,typical,44,24,1.8468131622256805,-0.5645172633737001,0.0594059405940594,0.2063280511056938,0,0,0
4_196,long,quiet,48,24,1.0051352206533912,-0.4113121563915196,0.1485148514851485,0.0201533873575581,0,0,0
4_196,long,stress,0,24,1.0939619521688255,0.6536302430033096,0.0198019801980198,0.0876073758946395,0,0,2
4_196,long,typical,53,24,1.6255544043110737,0.37911418900535115,0.0297029702970297,3.6429008513319503,0,0,2
4_76,mid,quiet,17,24,1.8288054319593088,0.7746371421547957,0.0297029702970297,0.0222735476397981,0,0,3
4_76,mid,stress,0,24,1.162473047665019,-0.4289247715804414,0.1485148514851485,2.0609710146136164,0,0,0
4_76,mid,typical,33,24,2.060447632893671,0.49771451635957864,0.1782178217821782,0.0542015579344526,0,0,0
82_0,mid,quiet,17,24,-0.3331815193607766,-1.2281834759799426,0.6138613861386139,0.0108753539129922,0,0,0
82_0,mid,stress,64,24,5.798983575823957,0.8379242859599174,0.0099009900990099,0.0767456724160756,5,4,11
82_0,mid,typical,18,24,3.925272809602105,1.2897536833037986,0.0099009900990099,0.0268187098964265,5,2,9
